# Pathway lesson inventory by nursing tier (RN / PN·RPN / NP)
# Generated from getEffectiveCatalogLessonsForPathwaySync — same bundle + filters as public lesson hubs.
# Columns: topicSlug | bodySystem | slug | title | audienceTiers (if any)

========== RN ==========

--- ca-rn-nclex-rn (NCLEX-RN) — 146 lessons ---
antibiotics | Pharmacology / infection | med-family-antibiotics-gold | Antibiotics — nursing implications (NCLEX-RN, Canada)
endocrine | Endocrine / metabolic | dka-hhs-hyperglycemic-emergencies-gold | DKA & HHS: recognition & safety (REx-PN, Canada)
endocrine | Endocrine | thyroid-storm-emergency-gold | Thyroid storm: emergency recognition (REx-PN, Canada)
fluids-electrolytes | Renal | bp26-carpn-x009-calcium-imbalance-cues | Calcium imbalance cues — REx-PN (Canada)
fluids-electrolytes | Renal | bp26-carpn-x010-magnesium-monitoring-on-replacement | Magnesium monitoring on replacement — REx-PN (Canada)
fluids-electrolytes | Renal | bp26-carpn-x011-fluid-restriction-teaching | Fluid restriction teaching — REx-PN (Canada)
fluids-electrolytes | Fluids & electrolytes | clinical-casebook-electrolyte-crisis-gold | Electrolyte crisis case study (REx-PN, Canada)
fluids-electrolytes | Renal | fluids-electrolytes-emergencies-gold | Electrolyte & fluid emergencies (REx-PN, Canada)
gastrointestinal | Gastrointestinal | bp26-carpn-proc-ngt-placement-care | NG tube care & placement checks — REx-PN (Canada)
gastrointestinal | Gastrointestinal | upper-gi-bleed-prioritization-gold | Upper GI bleed: priorities (REx-PN, Canada)
hypertension | Cardiovascular | bp26-carpn-pa-htn-crisis | Hypertensive urgency vs emergency cues — REx-PN (Canada)
hypertension | Cardiovascular | med-family-antihypertensives-gold | Antihypertensives (REx-PN, Canada)
infection-control | Infection | bp26-carpn-lab-cultures-timing | Blood cultures: timing with antibiotics — REx-PN (Canada)
infection-control | General | bp26-carpn-proc-cvc-dressing | Central line dressing & CLABSI prevention — REx-PN (Canada)
infection-control | Safety / infection prevention | safety-family-infection-control-gold | Infection control & standard precautions (REx-PN, Canada)
infection-control | Safety / infection prevention | safety-family-isolation-precautions-gold | Isolation & transmission precautions (REx-PN, Canada)
maternity | Maternity | bp26-carpn-x018-preeclampsia-symptom-triad | Preeclampsia symptom triad — REx-PN (Canada)
maternity | Maternity | bp26-carpn-x019-newborn-thermoregulation | Newborn thermoregulation — REx-PN (Canada)
maternity | Maternity | bp26-carpn-x020-breastfeeding-latch-troubleshooting | Breastfeeding latch troubleshooting — REx-PN (Canada)
maternity | Maternity | clinical-casebook-maternal-newborn-emergency-gold | Maternal emergency case study (REx-PN, Canada)
medication-safety | General | bp26-carpn-ph-high-alert-rounds | High-alert medications: double checks — REx-PN (Canada)
medication-safety | Pharmacology | high-alert-medications-safety-gold | High-alert meds: insulin, anticoagulants, opioids (REx-PN, Canada)
medication-safety | Safety / pharmacology | safety-family-medication-administration-gold | Medication administration & error prevention (REx-PN, Canada)
mental-health | Neurological | bp26-carpn-psy-dementia-wandering | Dementia: wandering & safety — REx-PN (Canada)
mental-health | Psychosocial | bp26-carpn-x015-delirium-vs-dementia-nursing-differentia | Delirium vs dementia: nursing differentiation — REx-PN (Canada)
mental-health | Psychosocial | bp26-carpn-x016-substance-withdrawal-monitoring | Substance withdrawal monitoring — REx-PN (Canada)
mental-health | Psychosocial | bp26-carpn-x017-trauma-informed-care-basics | Trauma-informed care basics — REx-PN (Canada)
mental-health | Mental health / safety | clinical-casebook-mental-health-safety-gold | Mental health & safety case study (REx-PN, Canada)
mental-health | Mental health / neurology | med-family-psychotropic-gold | Psychotropic medications (REx-PN, Canada)
neurological | Neurological / geriatrics | delirium-acute-confusion-gold | Delirium: acute confusion & safety (REx-PN, Canada)
neurological | Neurological / infection | meningitis-emergency-recognition-gold | Meningitis: emergency recognition (REx-PN, Canada)
neurological | Neurological | stroke-increased-icp-gold | Stroke cues & neuro emergencies (REx-PN, Canada)
pain | Pain / perioperative | med-family-pain-sedation-gold | Pain & sedation medications (REx-PN, Canada)
pediatrics | Pediatrics | bp26-carpn-x021-pediatric-dosing-verification-mindset | Pediatric dosing verification mindset — REx-PN (Canada)
pediatrics | Pediatrics | bp26-carpn-x022-airway-obstruction-in-toddlers | Airway obstruction in toddlers — REx-PN (Canada)
pediatrics | Pediatrics | bp26-carpn-x023-immunization-catch-up-planning | Immunization catch-up planning — REx-PN (Canada)
pediatrics | Pediatrics | clinical-casebook-pediatric-fever-dehydration-gold | Pediatric fever / dehydration case study (REx-PN, Canada)
pharmacology | General | bp26-carpn-x012-beta-blocker-hold-peri-op-considerations | Beta-blocker hold peri-op considerations — REx-PN (Canada)
pharmacology | General | bp26-carpn-x013-diuretic-teaching-orthostasis | Diuretic teaching & orthostasis — REx-PN (Canada)
pharmacology | General | bp26-carpn-x014-steroid-taper-teaching | Steroid taper teaching — REx-PN (Canada)
pharmacology | Pharmacology / neuro | opioid-toxicity-naloxone-gold | Opioid toxicity & naloxone safety (REx-PN, Canada)
pneumonia | Respiratory / infection | pneumonia-cap-nursing-gold | Pneumonia (CAP): nursing priorities (REx-PN, Canada)
prioritization | Safety / clinical judgment | safety-family-prioritization-uncertainty-gold | Prioritization under uncertainty (REx-PN, Canada)
prioritization-delegation | General | clinical-judgment-prioritization-gold | Clinical judgment: prioritization (REx-PN, Canada)
prioritization-delegation | Leadership / safety | nurse-patient-assignment-acuity-gold | Patient assignment & acuity (REx-PN, Canada)
renal-gu | Renal | acute-kidney-injury-nursing-gold | Acute kidney injury: nursing surveillance (REx-PN, Canada)
renal-gu | Renal | bp26-carpn-pa-dialysis-access | Dialysis access complications to report — REx-PN (Canada)
respiratory | Respiratory | ards-acute-respiratory-failure-gold | ARDS & acute respiratory failure (REx-PN, Canada)
respiratory | Respiratory | bp26-carpn-lab-abg-interpret | ABG basics for nursing decisions — REx-PN (Canada)
respiratory | Respiratory | bp26-carpn-x006-pleural-effusion-breath-sounds-positioni | Pleural effusion: breath sounds & positioning — REx-PN (Canada)
respiratory | Respiratory | bp26-carpn-x007-home-oxygen-teaching | Home oxygen teaching — REx-PN (Canada)
respiratory | Respiratory | bp26-carpn-x008-pneumothorax-signs | Pneumothorax signs — REx-PN (Canada)
respiratory | Respiratory | clinical-casebook-respiratory-distress-gold | Respiratory distress case study (REx-PN, Canada)
respiratory | Respiratory / pulmonary | med-family-respiratory-gold | Respiratory medications (REx-PN, Canada)
safety | General | bp26-carpn-sf-fire-evac-chair | Fire safety & evacuation roles — REx-PN (Canada)
safety | General | bp26-carpn-x024-wrong-patient-near-miss-reporting | Wrong-patient near-miss reporting — REx-PN (Canada)
safety | General | bp26-carpn-x025-barcode-scanning-discipline | Barcode scanning discipline — REx-PN (Canada)
safety | General | bp26-carpn-x026-line-identification-labeling | Line identification & labeling — REx-PN (Canada)
safety | Safety / mobility | falls-injury-prevention-gold | Falls & injury prevention (REx-PN, Canada)
safety | Safety / communication | safety-family-escalation-notification-gold | Escalation & when to notify (REx-PN, Canada)
safety | Safety / geriatrics | safety-family-falls-prevention-gold | Falls prevention & safety (REx-PN, Canada)
safety | Safety / ethics | safety-family-restraints-alternatives-gold | Restraints & least-restrictive alternatives (REx-PN, Canada)
sepsis | Infection / shock | clinical-casebook-sepsis-rapid-response-gold | Sepsis case study: rapid response (REx-PN, Canada)
sepsis | Infection / sepsis | sepsis-early-recognition-gold | Sepsis cues & escalation (REx-PN, Canada)
shock | Integumentary | bp26-carpn-pa-burn-fluid-first | Burns: first-hour priorities — REx-PN (Canada)
shock | Emergency / resuscitation | med-family-emergency-response-gold | Emergency response medications (REx-PN, Canada)
shock | Cardiovascular | shock-emergencies-gold | Shock cues & perfusion support (REx-PN, Canada)

--- us-lpn-nclex-pn (NCLEX-PN) — 86 lessons ---
antibiotics | Infection | bp26-uslpn-ph-abx-stewardship | Antibiotic stewardship for nurses — NCLEX-PN (United States)
antibiotics | Pharmacology / infection | med-family-antibiotics-gold | Antibiotics — nursing implications (NCLEX-PN, US)
anticoagulation | Cardiovascular | bp26-uslpn-ph-anticoag-bridging | Anticoagulation monitoring cues — NCLEX-PN (United States)
anticoagulation | Hematology / cardiovascular | med-family-anticoagulants-gold | Anticoagulants — monitoring & safety (NCLEX-PN, US)
cardiovascular | Cardiovascular | acute-coronary-syndrome-gold | Chest pain & ACS cues: PN actions (NCLEX-PN, US)
cardiovascular | Cardiovascular | atrial-fibrillation-stroke-prevention-gold | Atrial fibrillation: stroke prevention (NCLEX-PN, US)
cardiovascular | Cardiovascular | bp26-uslpn-pa-chf-volume | Heart failure: volume overload cues — NCLEX-PN (United States)
cardiovascular | Cardiovascular | bp26-uslpn-rr-vte-mechanical | VTE prophylaxis: SCDs & ambulation — NCLEX-PN (United States)
cardiovascular | Cardiovascular | clinical-casebook-acs-chest-pain-gold | ACS case study: chest pain triage (NCLEX-PN, US)
cardiovascular | Cardiovascular | med-family-cardiac-gold | Cardiac medications (ischemia & rhythm) (NCLEX-PN, US)
cardiovascular | Cardiovascular / respiratory | pulmonary-embolism-recognition-gold | Pulmonary embolism: recognition (NCLEX-PN, US)
copd | Respiratory | bp26-uslpn-pa-copd-exac | COPD exacerbation: oxygen & work of breathing — NCLEX-PN (United States)
copd | Respiratory | copd-clinical-judgment-gold | COPD: clinical judgment (NCLEX-PN, US)
delegation | General | bp26-uslpn-mo-delegate-uap | Delegating to assistive personnel — NCLEX-PN (United States)
delegation | General | canadian-rpn-scope-collaboration-gold | Practical nursing scope: US PN vs Canadian RPN ideas (NCLEX-PN, US)
delegation | Safety / leadership | safety-family-delegation-supervision-gold | Delegation & supervision (NCLEX-PN, US)
diabetes-meds | Endocrine | bp26-uslpn-ph-insulin-safety | Insulin administration safety — NCLEX-PN (United States)
diabetes-meds | Endocrine | med-family-insulin-diabetes-gold | Insulin & diabetes medications (NCLEX-PN, US)
endocrine | Endocrine | adrenal-crisis-addisonian-gold | Adrenal crisis (Addisonian) (NCLEX-PN, US)
endocrine | Endocrine | bp26-uslpn-pa-dka-vs-hhs | Hyperglycemic crises: assessment differences — NCLEX-PN (United States)
endocrine | Endocrine / metabolic | clinical-casebook-glucose-dka-hypoglycemia-gold | Glucose emergency case study (NCLEX-PN, US)
endocrine | Endocrine / metabolic | dka-hhs-hyperglycemic-emergencies-gold | DKA & HHS: recognition & safety (NCLEX-PN, US)
endocrine | Endocrine | thyroid-storm-emergency-gold | Thyroid storm: emergency recognition (NCLEX-PN, US)
fluids-electrolytes | Renal | bp26-uslpn-pa-hyperk-emerg | Hyperkalemia ECG & safety — NCLEX-PN (United States)
fluids-electrolytes | Renal | bp26-uslpn-pa-hyponat-symp | Hyponatremia symptoms & monitoring — NCLEX-PN (United States)
fluids-electrolytes | Fluids & electrolytes | clinical-casebook-electrolyte-crisis-gold | Electrolyte crisis case study (NCLEX-PN, US)
fluids-electrolytes | Renal | fluids-electrolytes-emergencies-gold | Electrolyte & fluid emergencies: what to spot (NCLEX-PN, US)
gastrointestinal | Gastrointestinal | bp26-uslpn-pa-gi-bleed-stable | GI bleed: hemodynamic stability cues — NCLEX-PN (United States)
gastrointestinal | Gastrointestinal | upper-gi-bleed-prioritization-gold | Upper GI bleed: priorities (NCLEX-PN, US)
health-promotion | General | bp26-uslpn-hp-immunization-ed | Immunization education essentials — NCLEX-PN (United States)
hypertension | Cardiovascular | med-family-antihypertensives-gold | Antihypertensives (NCLEX-PN, US)
infection-control | General | bp26-uslpn-sf-ppe-isolation | PPE sequence & isolation precautions — NCLEX-PN (United States)
infection-control | Safety / infection prevention | safety-family-infection-control-gold | Infection control & standard precautions (NCLEX-PN, US)
infection-control | Safety / infection prevention | safety-family-isolation-precautions-gold | Isolation & transmission precautions (NCLEX-PN, US)
maternity | Maternity | bp26-uslpn-mat-labor-fhr | FHR category basics for nurses — NCLEX-PN (United States)
maternity | Maternity | bp26-uslpn-mat-postpartum-hem | Postpartum hemorrhage early cues — NCLEX-PN (United States)
maternity | Maternity | clinical-casebook-maternal-newborn-emergency-gold | Maternal emergency case study (NCLEX-PN, US)
medication-safety | General | bp26-uslpn-sf-med-reconciliation | Medication reconciliation at transitions — NCLEX-PN (United States)
medication-safety | Pharmacology | high-alert-medications-safety-gold | High-alert meds: insulin, anticoagulants, opioids (NCLEX-PN, US)
medication-safety | Safety / pharmacology | safety-family-medication-administration-gold | Medication administration & error prevention (NCLEX-PN, US)
mental-health | Psychosocial | bp26-uslpn-psy-anxiety-therapeutic | Therapeutic communication for anxiety — NCLEX-PN (United States)
mental-health | Psychosocial | bp26-uslpn-psy-suicide-safety | Suicide risk: nursing priorities — NCLEX-PN (United States)
mental-health | Mental health / safety | clinical-casebook-mental-health-safety-gold | Mental health & safety case study (NCLEX-PN, US)
mental-health | Mental health / neurology | med-family-psychotropic-gold | Psychotropic medications (NCLEX-PN, US)
neurological | Neurological | bp26-uslpn-pa-ich-nih | Neuro checks after ICH pathway — NCLEX-PN (United States)
neurological | Neurological | bp26-uslpn-pa-stroke-window | Acute stroke: time-sensitive reporting — NCLEX-PN (United States)
neurological | Neurological / geriatrics | delirium-acute-confusion-gold | Delirium: acute confusion & safety (NCLEX-PN, US)
neurological | Neurological / infection | meningitis-emergency-recognition-gold | Meningitis: emergency recognition (NCLEX-PN, US)
neurological | Neurological | stroke-increased-icp-gold | Stroke cues & neuro emergencies: PN actions (NCLEX-PN, US)
pain | Neurological | bp26-uslpn-ph-opioid-resp-depr | Opioids & respiratory depression — NCLEX-PN (United States)
pain | Pain / perioperative | med-family-pain-sedation-gold | Pain & sedation medications (NCLEX-PN, US)
pediatrics | Pediatrics | bp26-uslpn-ped-febrile-infant | Febrile infant: assessment priorities — NCLEX-PN (United States)
pediatrics | Pediatrics | bp26-uslpn-ped-growth-chart | Growth charts & parental teaching — NCLEX-PN (United States)
pediatrics | Pediatrics | clinical-casebook-pediatric-fever-dehydration-gold | Pediatric fever / dehydration case study (NCLEX-PN, US)
pharmacology | Pharmacology / neuro | opioid-toxicity-naloxone-gold | Opioid toxicity & naloxone safety (NCLEX-PN, US)
pneumonia | Respiratory | bp26-uslpn-pa-pneumonia-curbs | Community pneumonia: severity thinking — NCLEX-PN (United States)
pneumonia | Respiratory / infection | pneumonia-cap-nursing-gold | Pneumonia (CAP): nursing priorities (NCLEX-PN, US)
prioritization | General | bp26-uslpn-mo-shift-report-sbar | SBAR handoff & shift report — NCLEX-PN (United States)
prioritization | Safety / clinical judgment | safety-family-prioritization-uncertainty-gold | Prioritization under uncertainty (NCLEX-PN, US)
prioritization-delegation | Multisystem | bp26-uslpn-cs-multiorgan-triage | Case: multi-system deterioration triage — NCLEX-PN (United States)
prioritization-delegation | General | bp26-uslpn-cs-two-patients | Case: choosing between two unstable clients — NCLEX-PN (United States)
prioritization-delegation | General | bp26-uslpn-mo-care-conference | Interprofessional care conference basics — NCLEX-PN (United States)
prioritization-delegation | General | bp26-uslpn-mo-ethical-concern | Raising ethical concerns safely — NCLEX-PN (United States)
prioritization-delegation | General | clinical-judgment-prioritization-gold | Clinical judgment: prioritization (NCLEX-PN, US)
prioritization-delegation | Leadership / safety | nurse-patient-assignment-acuity-gold | Patient assignment & acuity (NCLEX-PN, US)
psychosocial | General | bp26-uslpn-bc-comfort-dying | Comfort care at end of life — NCLEX-PN (United States)
pulmonary-embolism | Respiratory | bp26-uslpn-pa-pe-suspect | Suspected pulmonary embolism: first moves — NCLEX-PN (United States)
renal-gu | Renal | acute-kidney-injury-nursing-gold | Acute kidney injury: nursing surveillance (NCLEX-PN, US)
renal-gu | Renal | bp26-uslpn-pa-aki-urine-labs | AKI: urine output & creatinine cues — NCLEX-PN (United States)
respiratory | Respiratory | ards-acute-respiratory-failure-gold | ARDS & acute respiratory failure (NCLEX-PN, US)
respiratory | Respiratory | bp26-uslpn-pa-asthma-exac | Asthma exacerbation: monitoring — NCLEX-PN (United States)
respiratory | Respiratory | clinical-casebook-respiratory-distress-gold | Respiratory distress case study (NCLEX-PN, US)
respiratory | Respiratory / pulmonary | med-family-respiratory-gold | Respiratory medications (NCLEX-PN, US)
safety | Integumentary | bp26-uslpn-rr-pressure-injury | Pressure injury prevention bundle — NCLEX-PN (United States)
safety | General | bp26-uslpn-sf-falls-bed-exit | Fall risk & bed-exit alarms — NCLEX-PN (United States)
safety | General | bp26-uslpn-sf-restraint-alternatives | Restraint alternatives & least restraint — NCLEX-PN (United States)
safety | Safety / mobility | falls-injury-prevention-gold | Falls & injury prevention (NCLEX-PN, US)
safety | Safety / communication | safety-family-escalation-notification-gold | Escalation & when to notify (NCLEX-PN, US)
safety | Safety / geriatrics | safety-family-falls-prevention-gold | Falls prevention & safety (NCLEX-PN, US)
safety | Safety / ethics | safety-family-restraints-alternatives-gold | Restraints & least-restrictive alternatives (NCLEX-PN, US)
sepsis | Multisystem | bp26-uslpn-pa-sepsis-trending | Trending vitals in suspected sepsis — NCLEX-PN (United States)
sepsis | Infection / shock | clinical-casebook-sepsis-rapid-response-gold | Sepsis case study: rapid response (NCLEX-PN, US)
sepsis | Infection / sepsis | sepsis-early-recognition-gold | Sepsis cues & escalation (NCLEX-PN, US)
shock | Cardiovascular | bp26-uslpn-pa-shock-classify | Shock patterns & nursing cues — NCLEX-PN (United States)
shock | Emergency / resuscitation | med-family-emergency-response-gold | Emergency response medications (NCLEX-PN, US)
shock | Cardiovascular | shock-emergencies-gold | Shock cues & perfusion support (NCLEX-PN, US)

========== NP ==========

--- ca-np-cnple (CNPLE) — 19 lessons ---
cardiovascular | Cardiovascular | acute-coronary-syndrome-gold | Chest pain triage in primary care (Canadian NP (primary care))
cardiovascular | Cardiovascular | np-heart-failure-primary-care-gold | Heart failure: outpatient management (Canadian NP (primary care))
clinical-reasoning | General | np-travel-medicine-pretravel-gold | Travel medicine: pre-travel consult (Canadian NP (primary care))
copd | Respiratory | copd-clinical-judgment-gold | COPD: primary care judgment (Canadian NP (primary care))
diabetes-metabolic | Endocrine | np-obesity-metabolic-management-gold | Obesity & metabolic risk: primary care (Canadian NP (primary care))
diabetes-metabolic | Endocrine | np-type2-diabetes-outpatient-gold | Type 2 diabetes: outpatient management (Canadian NP (primary care))
endocrine | Endocrine | np-thyroid-primary-care-gold | Thyroid disorders: primary care (Canadian NP (primary care))
geriatrics | General | np-geriatrics-polypharmacy-deprescribing-gold | Polypharmacy & deprescribing (Canadian NP (primary care))
mental-health | Psychiatric | np-mental-health-anxiety-depression-ptsd-gold | Anxiety, depression & PTSD (Canadian NP (primary care))
musculoskeletal | Musculoskeletal | np-msk-rheumatology-outpatient-gold | MSK & rheumatology: outpatient care (Canadian NP (primary care))
neurological | Neurological | np-neurology-outpatient-primary-care-gold | Outpatient neurology triage (Canadian NP (primary care))
pediatrics | Immune | np-immunization-vaccines-primary-care-gold | Immunization & vaccines (Canadian NP (primary care))
pediatrics | General | np-pediatric-well-child-prevention-gold | Pediatric well-child & prevention (Canadian NP (primary care))
respiratory | Respiratory | np-asthma-outpatient-gold | Asthma: outpatient management (Canadian NP (primary care))
respiratory-acute | Respiratory | np-pneumonia-cap-outpatient-gold | Community-acquired pneumonia: outpatient judgment (Canadian NP (primary care))
sleep-medicine | Neurological | np-sleep-insomnia-osa-primary-care-gold | Sleep: insomnia, OSA & RLS (Canadian NP (primary care))
womens-health | Reproductive | np-ambulatory-gynec-common-presentations-gold | Ambulatory gynec: common presentations (Canadian NP (primary care))
womens-health | Reproductive | np-contraception-counseling-selection-gold | Contraception: prescribing & counseling (Canadian NP (primary care))
womens-health | Reproductive | np-reproductive-screening-prevention-gold | Reproductive screening & prevention (Canadian NP (primary care))

--- us-np-agpcnp (AGPCNP) — 66 lessons ---
antibiotics | Pharmacology / infection | med-family-antibiotics-gold | Antibiotics — selection themes & safety counseling (AGPCNP, US)
anticoagulation | Hematology / cardiovascular | med-family-anticoagulants-gold | Anticoagulation — risk, reversal themes, & counseling (AGPCNP, US)
cardiovascular | Cardiovascular | acute-coronary-syndrome-gold | Chest pain triage in primary care (AGPCNP, US)
cardiovascular | Cardiovascular | atrial-fibrillation-stroke-prevention-gold | AFib — stroke prevention & anticoagulation themes (AGPCNP, US)
cardiovascular | Cardiovascular | clinical-casebook-acs-chest-pain-gold | ACS case study — risk stratification & escalation (AGPCNP, US)
cardiovascular | Cardiovascular | med-family-cardiac-gold | Cardiac meds — rate/rhythm & ischemia themes (AGPCNP, US)
cardiovascular | Cardiovascular | np-heart-failure-primary-care-gold | Heart failure: outpatient management (AGPCNP, US)
cardiovascular | Cardiovascular / respiratory | pulmonary-embolism-recognition-gold | PE — recognition & escalation (AGPCNP, US)
clinical-reasoning | General | np-primary-care-foundations-gold | NP foundations: clinical reasoning, prevention, and primary-care judgment (US boards)
clinical-reasoning | General | np-travel-medicine-pretravel-gold | Travel medicine: pre-travel consult (AGPCNP, US)
copd | Respiratory | copd-clinical-judgment-gold | COPD: primary care judgment (AGPCNP, US)
delegation | General | canadian-rpn-scope-collaboration-gold | Team-based care with LPN/RPN support (AGPCNP, US)
delegation | Safety / leadership | safety-family-delegation-supervision-gold | Delegation — NP vs RN scope in teams (AGPCNP, US)
diabetes-meds | Endocrine | med-family-insulin-diabetes-gold | Diabetes meds — insulin titration & safety (AGPCNP, US)
diabetes-metabolic | Endocrine | np-obesity-metabolic-management-gold | Obesity & metabolic risk: primary care (AGPCNP, US)
diabetes-metabolic | Endocrine | np-type2-diabetes-outpatient-gold | Type 2 diabetes: outpatient management (AGPCNP, US)
endocrine | Endocrine | adrenal-crisis-addisonian-gold | Adrenal insufficiency — stress dosing themes (AGPCNP, US)
endocrine | Endocrine / metabolic | clinical-casebook-glucose-dka-hypoglycemia-gold | Glucose emergency case study — DKA vs hypoglycemia (AGPCNP, US)
endocrine | Endocrine / metabolic | dka-hhs-hyperglycemic-emergencies-gold | DKA & HHS — hyperglycemic emergencies (AGPCNP, US)
endocrine | Endocrine | np-thyroid-primary-care-gold | Thyroid disorders: primary care (AGPCNP, US)
endocrine | Endocrine | thyroid-storm-emergency-gold | Thyroid storm — stabilization themes (AGPCNP, US)
fluids-electrolytes | Fluids & electrolytes | clinical-casebook-electrolyte-crisis-gold | Electrolyte crisis case study — K, Na, Ca (AGPCNP, US)
fluids-electrolytes | Renal | fluids-electrolytes-emergencies-gold | Electrolyte crises: outpatient triage (AGPCNP, US)
gastrointestinal | Gastrointestinal | upper-gi-bleed-prioritization-gold | Upper GI bleed — stabilization & referral (AGPCNP, US)
hypertension | Cardiovascular | med-family-antihypertensives-gold | Hypertension meds — titration & follow-up (AGPCNP, US)
infection-control | Safety / infection prevention | safety-family-infection-control-gold | Infection prevention — PPE & exposure workup (AGPCNP, US)
infection-control | Safety / infection prevention | safety-family-isolation-precautions-gold | Isolation — indication & discontinuation themes (AGPCNP, US)
infectious-disease | Infectious disease | np-antiinfectives-stewardship-outpatient-gold | Anti-infectives & stewardship (AGPCNP, US)
maternity | Maternity | clinical-casebook-maternal-newborn-emergency-gold | Maternal emergency case study — bleeding & preeclampsia (AGPCNP, US)
medication-safety | Pharmacology | high-alert-medications-safety-gold | High-alert meds: prescribing & monitoring (AGPCNP, US)
medication-safety | Safety / pharmacology | safety-family-medication-administration-gold | Med admin — reconciliation & e-prescribing safety (AGPCNP, US)
mental-health | Mental health / safety | clinical-casebook-mental-health-safety-gold | Mental health case study — suicide risk & safety planning (AGPCNP, US)
mental-health | Mental health / neurology | med-family-psychotropic-gold | Psychotropics — titration, EPS, & metabolic monitoring (AGPCNP, US)
mental-health | Psychiatric | np-mental-health-anxiety-depression-ptsd-gold | Anxiety, depression & PTSD (AGPCNP, US)
musculoskeletal | Musculoskeletal | np-msk-rheumatology-outpatient-gold | MSK & rheumatology: outpatient care (AGPCNP, US)
neurological | Neurological / geriatrics | delirium-acute-confusion-gold | Delirium — causes & safety planning (AGPCNP, US)
neurological | Neurological / infection | meningitis-emergency-recognition-gold | Meningitis — ED referral & precautions (AGPCNP, US)
neurological | Neurological | np-neurology-outpatient-primary-care-gold | Outpatient neurology triage (AGPCNP, US)
neurological | Neurological | stroke-increased-icp-gold | TIA & stroke red flags in ambulatory care (AGPCNP, US)
pain | Pain / perioperative | med-family-pain-sedation-gold | Pain & sedation — multimodal & opioid risk (AGPCNP, US)
pediatrics | Pediatrics | clinical-casebook-pediatric-fever-dehydration-gold | Pediatric fever case study — dehydration & sepsis (AGPCNP, US)
pediatrics | Immune | np-immunization-vaccines-primary-care-gold | Immunization & vaccines (AGPCNP, US)
pediatrics | General | np-pediatric-well-child-prevention-gold | Pediatric well-child & prevention (AGPCNP, US)
pharmacology | Pharmacology / neuro | opioid-toxicity-naloxone-gold | Opioid risk — monitoring & reversal themes (AGPCNP, US)
pneumonia | Respiratory / infection | pneumonia-cap-nursing-gold | Pneumonia — outpatient versus inpatient framing (AGPCNP, US)
prioritization | Safety / clinical judgment | safety-family-prioritization-uncertainty-gold | Uncertainty — differential breadth & safety netting (AGPCNP, US)
prioritization-delegation | General | clinical-judgment-prioritization-gold | Clinical judgment in ambulatory care (AGPCNP, US)
prioritization-delegation | Leadership / safety | nurse-patient-assignment-acuity-gold | Acuity — supervision & handoff themes (AGPCNP, US)
renal-gu | Renal | acute-kidney-injury-nursing-gold | AKI — drug & perfusion review (AGPCNP, US)
respiratory | Respiratory | ards-acute-respiratory-failure-gold | ARDS — oxygenation & escalation themes (AGPCNP, US)
respiratory | Respiratory | clinical-casebook-respiratory-distress-gold | Respiratory distress case study — oxygen & escalation (AGPCNP, US)
respiratory | Respiratory / pulmonary | med-family-respiratory-gold | Respiratory meds — inhaler technique & escalation (AGPCNP, US)
respiratory | Respiratory | np-asthma-outpatient-gold | Asthma: outpatient management (AGPCNP, US)
respiratory-acute | Respiratory | np-pneumonia-cap-outpatient-gold | Community-acquired pneumonia: outpatient judgment (AGPCNP, US)
safety | Safety / mobility | falls-injury-prevention-gold | Fall risk — screening & safety planning (AGPCNP, US)
safety | Safety / communication | safety-family-escalation-notification-gold | Escalation — urgent comms & safety netting (AGPCNP, US)
safety | Safety / geriatrics | safety-family-falls-prevention-gold | Falls — risk assessment & bone health (AGPCNP, US)
safety | Safety / ethics | safety-family-restraints-alternatives-gold | Restraints — indications & monitoring (AGPCNP, US)
sepsis | Infection / shock | clinical-casebook-sepsis-rapid-response-gold | Sepsis case study — escalation & bundle themes (AGPCNP, US)
sepsis | Infection / sepsis | sepsis-early-recognition-gold | Sepsis risk & escalation (AGPCNP, US)
shock | Emergency / resuscitation | med-family-emergency-response-gold | Emergency meds — ACLS-adjacent themes & safety (AGPCNP, US)
shock | Cardiovascular | shock-emergencies-gold | Shock risk & escalation in ambulatory settings (AGPCNP, US)
sleep-medicine | Neurological | np-sleep-insomnia-osa-primary-care-gold | Sleep: insomnia, OSA & RLS (AGPCNP, US)
womens-health | Reproductive | np-ambulatory-gynec-common-presentations-gold | Ambulatory gynec: common presentations (AGPCNP, US)
womens-health | Reproductive | np-contraception-counseling-selection-gold | Contraception: counseling & selection (AGPCNP, US)
womens-health | Reproductive | np-reproductive-screening-prevention-gold | Reproductive screening & prevention (AGPCNP, US)

--- us-np-fnp (FNP) — 158 lessons ---
abg-acid-base | General | fnp-overlay-abg-acid-base | ABG & acid–base — NP interpretation (FNP)
adolescent-health | Psychiatric | fnp-adolescent-mental-health-screening | Adolescent depression and safety: screening within scope (FNP)
antibiotics | Pharmacology / infection | med-family-antibiotics-gold | Antibiotics — selection themes & safety counseling (FNP, US)
anticoagulation | Hematology / cardiovascular | med-family-anticoagulants-gold | Anticoagulation — risk, reversal themes, & counseling (FNP, US)
cardiovascular | Cardiovascular | acute-coronary-syndrome-gold | Chest pain triage in primary care (FNP, US)
cardiovascular | Cardiovascular | atrial-fibrillation-stroke-prevention-gold | AFib — stroke prevention & anticoagulation themes (FNP, US)
