title,slug,primary_keyword,search_intent,country,tier,category_cluster,suggested_internal_links
"What causes neurotoxicity with fluoroquinolones in older adults?","what-causes-neurotoxicity-with-fluoroquinolones-in-older-adults-7","What causes neurotoxicity with fluoroquinolones in older adults",informational,Global,RN,"antibiotics-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How carbapenems cover ESBL when penicillins fail big picture?","how-carbapenems-cover-esbl-when-penicillins-fail-big-picture-8","How carbapenems cover ESBL when penicillins fail big picture",informational,Global,RN,"antibiotics-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why Bactrim raises potassium with ACE inhibitors combo risk?","why-bactrim-raises-potassium-with-ace-inhibitors-combo-risk-9","Why Bactrim raises potassium with ACE inhibitors combo risk",informational,Global,RN,"antibiotics-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Difference between bactericidal vs bacteriostatic exam memory trick?","difference-between-bactericidal-vs-bacteriostatic-exam-memory-trick-10","Difference between bactericidal vs bacteriostatic exam memory trick",informational,Global,RN,"antibiotics-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why hold metformin before contrast dye ACUTE kidney risk?","why-hold-metformin-before-contrast-dye-acute-kidney-risk","Why hold metformin before contrast dye ACUTE kidney risk",exam-prep,Global,RN,"cardiovascular-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How statins lower LDL and what liver enzymes signal?","how-statins-lower-ldl-and-what-liver-enzymes-signal-2","How statins lower LDL and what liver enzymes signal",informational,Global,RN,"cardiovascular-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"NCLEX amiodarone pulmonary fibrosis long-term teaching point?","nclex-amiodarone-pulmonary-fibrosis-long-term-teaching-point-3","NCLEX amiodarone pulmonary fibrosis long-term teaching point",exam-prep,Global,RN,"cardiovascular-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"What causes orthostasis when adding new antihypertensives?","what-causes-orthostasis-when-adding-new-antihypertensives-4","What causes orthostasis when adding new antihypertensives",informational,Global,RN,"cardiovascular-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why apixaban needs renal dose adjustment kidney watch?","why-apixaban-needs-renal-dose-adjustment-kidney-watch-5","Why apixaban needs renal dose adjustment kidney watch",informational,Global,RN,"cardiovascular-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How nitroprusside needs cyanide toxicity vigilance ICU nuance?","how-nitroprusside-needs-cyanide-toxicity-vigilance-icu-nuance-6","How nitroprusside needs cyanide toxicity vigilance ICU nuance",informational,Global,RN,"cardiovascular-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"What causes rebound hypertension if clonidine stopped suddenly?","what-causes-rebound-hypertension-if-clonidine-stopped-suddenly-7","What causes rebound hypertension if clonidine stopped suddenly",informational,Global,RN,"cardiovascular-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why spironolactone helps HF but raises K with ACE combo?","why-spironolactone-helps-hf-but-raises-k-with-ace-combo-8","Why spironolactone helps HF but raises K with ACE combo",informational,Global,RN,"cardiovascular-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How calcium channel classes differ dihydropyridine vs non-DHP?","how-calcium-channel-classes-differ-dihydropyridine-vs-non-dhp-9","How calcium channel classes differ dihydropyridine vs non-DHP",informational,Global,RN,"cardiovascular-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Difference between antiplatelet vs anticoagulant bleeding features?","difference-between-antiplatelet-vs-anticoagulant-bleeding-features-10","Difference between antiplatelet vs anticoagulant bleeding features",informational,Global,RN,"cardiovascular-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How opioid respiratory depression shows before saturation lags?","how-opioid-respiratory-depression-shows-before-saturation-lags","How opioid respiratory depression shows before saturation lags",exam-prep,Global,RN,"pain-sedation-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why naloxone duration is shorter than some opioids repeat doses?","why-naloxone-duration-is-shorter-than-some-opioids-repeat-doses-2","Why naloxone duration is shorter than some opioids repeat doses",informational,Global,RN,"pain-sedation-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"NCLEX PCA safety double checks and sedation scale?","nclex-pca-safety-double-checks-and-sedation-scale-3","NCLEX PCA safety double checks and sedation scale",exam-prep,Global,RN,"pain-sedation-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"What causes serotonin syndrome agitation clonus combo drugs?","what-causes-serotonin-syndrome-agitation-clonus-combo-drugs-4","What causes serotonin syndrome agitation clonus combo drugs",informational,Global,RN,"pain-sedation-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why ketamine dissociation is therapeutic in some sedation protocols?","why-ketamine-dissociation-is-therapeutic-in-some-sedation-protocols-5","Why ketamine dissociation is therapeutic in some sedation protocols",informational,Global,RN,"pain-sedation-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How benzodiazepines mask withdrawal but do not fix alcohol injury?","how-benzodiazepines-mask-withdrawal-but-do-not-fix-alcohol-injury-6","How benzodiazepines mask withdrawal but do not fix alcohol injury",informational,Global,RN,"pain-sedation-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"What causes malignant hyperthermia triggering agents theatre cue?","what-causes-malignant-hyperthermia-triggering-agents-theatre-cue-7","What causes malignant hyperthermia triggering agents theatre cue",informational,Global,RN,"pain-sedation-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why acetaminophen toxicity shows delayed liver enzyme rise?","why-acetaminophen-toxicity-shows-delayed-liver-enzyme-rise-8","Why acetaminophen toxicity shows delayed liver enzyme rise",informational,Global,RN,"pain-sedation-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How gabapentin accumulates renal impairment sedation risk?","how-gabapentin-accumulates-renal-impairment-sedation-risk-9","How gabapentin accumulates renal impairment sedation risk",informational,Global,RN,"pain-sedation-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Difference between addiction tolerance and dependence charting ethics?","difference-between-addiction-tolerance-and-dependence-charting-ethics-10","Difference between addiction tolerance and dependence charting ethics",informational,Global,RN,"pain-sedation-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why SSRIs need weeks before depression lifts mechanism basics?","why-ssris-need-weeks-before-depression-lifts-mechanism-basics","Why SSRIs need weeks before depression lifts mechanism basics",informational,Global,RN,"psychopharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How lithium toxicity shows tremor confusion rising levels?","how-lithium-toxicity-shows-tremor-confusion-rising-levels-2","How lithium toxicity shows tremor confusion rising levels",exam-prep,Global,RN,"psychopharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"NCLEX antipsychotic EPS vs NMS rapid differentiation?","nclex-antipsychotic-eps-vs-nms-rapid-differentiation-3","NCLEX antipsychotic EPS vs NMS rapid differentiation",exam-prep,Global,RN,"psychopharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"What causes hypertensive crisis with MAOIs and tyramine foods?","what-causes-hypertensive-crisis-with-maois-and-tyramine-foods-4","What causes hypertensive crisis with MAOIs and tyramine foods",informational,Global,RN,"psychopharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why clozapine needs ANC monitoring agranulocytosis risk?","why-clozapine-needs-anc-monitoring-agranulocytosis-risk-5","Why clozapine needs ANC monitoring agranulocytosis risk",informational,Global,RN,"psychopharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How benztropine helps acute dystonia from antipsychotics?","how-benztropine-helps-acute-dystonia-from-antipsychotics-6","How benztropine helps acute dystonia from antipsychotics",informational,Global,RN,"psychopharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"What causes serotonin syndrome vs neuroleptic malignant syndrome compare?","what-causes-serotonin-syndrome-vs-neuroleptic-malignant-syndrome-compare-7","What causes serotonin syndrome vs neuroleptic malignant syndrome compare",informational,Global,RN,"psychopharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why trazodone sedates but is not first-line antidepressant for all?","why-trazodone-sedates-but-is-not-first-line-antidepressant-for-all-8","Why trazodone sedates but is not first-line antidepressant for all",informational,Global,RN,"psychopharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How bupropion lowers seizure threshold at high doses?","how-bupropion-lowers-seizure-threshold-at-high-doses-9","How bupropion lowers seizure threshold at high doses",informational,Global,RN,"psychopharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Difference between anxiolytic abuse and ordered PRN appropriate use?","difference-between-anxiolytic-abuse-and-ordered-prn-appropriate-use-10","Difference between anxiolytic abuse and ordered PRN appropriate use",informational,Global,RN,"psychopharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How rapid-acting insulin timing matches carb intake NCLEX?","how-rapid-acting-insulin-timing-matches-carb-intake-nclex","How rapid-acting insulin timing matches carb intake NCLEX",exam-prep,Global,RN,"diabetes-endocrine-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why basal insulin should not be held when NPO without a plan?","why-basal-insulin-should-not-be-held-when-npo-without-a-plan-2","Why basal insulin should not be held when NPO without a plan",informational,Global,RN,"diabetes-endocrine-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"NCLEX hypoglycemia 15-15 rule and when to use glucagon?","nclex-hypoglycemia-15-15-rule-and-when-to-use-glucagon-3","NCLEX hypoglycemia 15-15 rule and when to use glucagon",exam-prep,Global,RN,"diabetes-endocrine-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"What causes lipohypertrophy with repeated same-site injections?","what-causes-lipohypertrophy-with-repeated-same-site-injections-4","What causes lipohypertrophy with repeated same-site injections",informational,Global,RN,"diabetes-endocrine-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How SGLT2 inhibitors cause euglycemic DKA rare warning?","how-sglt2-inhibitors-cause-euglycemic-dka-rare-warning-5","How SGLT2 inhibitors cause euglycemic DKA rare warning",informational,Global,RN,"diabetes-endocrine-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why metformin lactic acidosis is rare but renal failure matters?","why-metformin-lactic-acidosis-is-rare-but-renal-failure-matters-6","Why metformin lactic acidosis is rare but renal failure matters",informational,Global,RN,"diabetes-endocrine-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"What causes dawn phenomenon insulin titration nursing role?","what-causes-dawn-phenomenon-insulin-titration-nursing-role-7","What causes dawn phenomenon insulin titration nursing role",informational,Global,RN,"diabetes-endocrine-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How GLP-1 agonists slow gastric emptying nausea early weeks?","how-glp-1-agonists-slow-gastric-emptying-nausea-early-weeks-8","How GLP-1 agonists slow gastric emptying nausea early weeks",informational,Global,RN,"diabetes-endocrine-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why steroid bursts raise glucose sliding scale changes?","why-steroid-bursts-raise-glucose-sliding-scale-changes-9","Why steroid bursts raise glucose sliding scale changes",informational,Global,RN,"diabetes-endocrine-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Difference between insulin types onset peak duration chart memory?","difference-between-insulin-types-onset-peak-duration-chart-memory-10","Difference between insulin types onset peak duration chart memory",informational,Global,RN,"diabetes-endocrine-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How potassium chloride IV must never be pushed NCLEX never event?","how-potassium-chloride-iv-must-never-be-pushed-nclex-never-event","How potassium chloride IV must never be pushed NCLEX never event",exam-prep,Global,RN,"fluids-electrolytes-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why normal saline can worsen hypernatremia if free water needed?","why-normal-saline-can-worsen-hypernatremia-if-free-water-needed-2","Why normal saline can worsen hypernatremia if free water needed",informational,Global,RN,"fluids-electrolytes-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"NCLEX magnesium sulfate toxicity loss of DTRs obstetric lens?","nclex-magnesium-sulfate-toxicity-loss-of-dtrs-obstetric-lens-3","NCLEX magnesium sulfate toxicity loss of DTRs obstetric lens",exam-prep,Global,RN,"fluids-electrolytes-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"What causes thirstless hypernatremia in elderly fragile patients?","what-causes-thirstless-hypernatremia-in-elderly-fragile-patients-4","What causes thirstless hypernatremia in elderly fragile patients",informational,Global,RN,"fluids-electrolytes-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How calcium gluconate stabilizes cardiac membranes in hyperkalemia bridge?","how-calcium-gluconate-stabilizes-cardiac-membranes-in-hyperkalemia-bridge-5","How calcium gluconate stabilizes cardiac membranes in hyperkalemia bridge",informational,Global,RN,"fluids-electrolytes-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why phosphate repletion needs caution when renal impaired?","why-phosphate-repletion-needs-caution-when-renal-impaired-6","Why phosphate repletion needs caution when renal impaired",informational,Global,RN,"fluids-electrolytes-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"What causes refeeding syndrome phosphate shifts tube feeds?","what-causes-refeeding-syndrome-phosphate-shifts-tube-feeds-7","What causes refeeding syndrome phosphate shifts tube feeds",informational,Global,RN,"fluids-electrolytes-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How albumin disputed resuscitation colloid vs crystalloid exam?","how-albumin-disputed-resuscitation-colloid-vs-crystalloid-exam-8","How albumin disputed resuscitation colloid vs crystalloid exam",informational,Global,RN,"fluids-electrolytes-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why lactated Ringer choice matters in some acid-base pictures?","why-lactated-ringer-choice-matters-in-some-acid-base-pictures-9","Why lactated Ringer choice matters in some acid-base pictures",informational,Global,RN,"fluids-electrolytes-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Difference between isotonic hypotonic hypertonic fluid examples?","difference-between-isotonic-hypotonic-hypertonic-fluid-examples-10","Difference between isotonic hypotonic hypertonic fluid examples",informational,Global,RN,"fluids-electrolytes-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why preeclampsia endothelial dysfunction raises liver enzymes risk?","why-preeclampsia-endothelial-dysfunction-raises-liver-enzymes-risk","Why preeclampsia endothelial dysfunction raises liver enzymes risk",exam-prep,Global,RN,"maternity-neonatal-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How postpartum hemorrhage hypovolemia evolves before vitals crash?","how-postpartum-hemorrhage-hypovolemia-evolves-before-vitals-crash-2","How postpartum hemorrhage hypovolemia evolves before vitals crash",exam-prep,Global,RN,"maternity-neonatal-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"NCLEX late decelerations uteroplacental insufficiency pattern?","nclex-late-decelerations-uteroplacental-insufficiency-pattern-3","NCLEX late decelerations uteroplacental insufficiency pattern",exam-prep,Global,RN,"maternity-neonatal-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"What causes neonatal persistent pulmonary hypertension basics?","what-causes-neonatal-persistent-pulmonary-hypertension-basics-4","What causes neonatal persistent pulmonary hypertension basics",informational,Global,RN,"maternity-neonatal-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why Rh incompatibility threatens hemolysis in newborn screen?","why-rh-incompatibility-threatens-hemolysis-in-newborn-screen-5","Why Rh incompatibility threatens hemolysis in newborn screen",informational,Global,RN,"maternity-neonatal-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How gestational diabetes shifts fetal growth macrosomia risk?","how-gestational-diabetes-shifts-fetal-growth-macrosomia-risk-6","How gestational diabetes shifts fetal growth macrosomia risk",informational,Global,RN,"maternity-neonatal-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"What causes chorioamnionitis fever fetal tachycardia cluster?","what-causes-chorioamnionitis-fever-fetal-tachycardia-cluster-7","What causes chorioamnionitis fever fetal tachycardia cluster",informational,Global,RN,"maternity-neonatal-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why magnesium sulfate protects neurologic preterm delivery context?","why-magnesium-sulfate-protects-neurologic-preterm-delivery-context-8","Why magnesium sulfate protects neurologic preterm delivery context",informational,Global,RN,"maternity-neonatal-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How shoulder dystocia compromises cord compression?","how-shoulder-dystocia-compromises-cord-compression-9","How shoulder dystocia compromises cord compression",informational,Global,RN,"maternity-neonatal-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Difference between early vs late postpartum bleeding causes?","difference-between-early-vs-late-postpartum-bleeding-causes-10","Difference between early vs late postpartum bleeding causes",informational,Global,RN,"maternity-neonatal-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why croup stridor improves with cool mist and steroids mechanisms?","why-croup-stridor-improves-with-cool-mist-and-steroids-mechanisms","Why croup stridor improves with cool mist and steroids mechanisms",informational,Global,RN,"pediatric-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How bronchiolitis plugs small airways infant work of breath?","how-bronchiolitis-plugs-small-airways-infant-work-of-breath-2","How bronchiolitis plugs small airways infant work of breath",informational,Global,RN,"pediatric-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"NCLEX dehydration skin tent vs fontanelle infants?","nclex-dehydration-skin-tent-vs-fontanelle-infants-3","NCLEX dehydration skin tent vs fontanelle infants",exam-prep,Global,RN,"pediatric-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"What causes Kawasaki fever and why coronary arteries matter?","what-causes-kawasaki-fever-and-why-coronary-arteries-matter-4","What causes Kawasaki fever and why coronary arteries matter",informational,Global,RN,"pediatric-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why intussusception causes currant jelly stool classic cue?","why-intussusception-causes-currant-jelly-stool-classic-cue-5","Why intussusception causes currant jelly stool classic cue",informational,Global,RN,"pediatric-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How RSV winter peaks strain pediatric units nursing surge?","how-rsv-winter-peaks-strain-pediatric-units-nursing-surge-6","How RSV winter peaks strain pediatric units nursing surge",informational,Global,RN,"pediatric-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"What causes febrile seizures benign vs emergency features?","what-causes-febrile-seizures-benign-vs-emergency-features-7","What causes febrile seizures benign vs emergency features",informational,Global,RN,"pediatric-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why pyloric stenosis projectile non bilious vomiting pattern?","why-pyloric-stenosis-projectile-non-bilious-vomiting-pattern-8","Why pyloric stenosis projectile non bilious vomiting pattern",informational,Global,RN,"pediatric-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How juvenile idiopathic arthritis differs from growing pains story?","how-juvenile-idiopathic-arthritis-differs-from-growing-pains-story-9","How juvenile idiopathic arthritis differs from growing pains story",informational,Global,RN,"pediatric-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Difference between croup epiglottitis speed presentation modern lens?","difference-between-croup-epiglottitis-speed-presentation-modern-lens-10","Difference between croup epiglottitis speed presentation modern lens",informational,Global,RN,"pediatric-pathophysiology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why Beers criteria flag risky anticholinergics in elderly NCLEX?","why-beers-criteria-flag-risky-anticholinergics-in-elderly-nclex","Why Beers criteria flag risky anticholinergics in elderly NCLEX",exam-prep,Global,RN,"gerontology-polypharmacy","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How fall risk rises with sedatives plus orthostatic hypotension?","how-fall-risk-rises-with-sedatives-plus-orthostatic-hypotension-2","How fall risk rises with sedatives plus orthostatic hypotension",informational,Global,RN,"gerontology-polypharmacy","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"NCLEX teach-back gaps with low health literacy discharge safety?","nclex-teach-back-gaps-with-low-health-literacy-discharge-safety-3","NCLEX teach-back gaps with low health literacy discharge safety",exam-prep,Global,RN,"gerontology-polypharmacy","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"What causes delirium reversible triggers vs dementia slower course?","what-causes-delirium-reversible-triggers-vs-dementia-slower-course-4","What causes delirium reversible triggers vs dementia slower course",informational,Global,RN,"gerontology-polypharmacy","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why renal dosing errors hit older adults on many drugs?","why-renal-dosing-errors-hit-older-adults-on-many-drugs-5","Why renal dosing errors hit older adults on many drugs",informational,Global,RN,"gerontology-polypharmacy","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How polypharmacy cascades new drugs fixing side effects loops?","how-polypharmacy-cascades-new-drugs-fixing-side-effects-loops-6","How polypharmacy cascades new drugs fixing side effects loops",informational,Global,RN,"gerontology-polypharmacy","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"What causes orthostatic vitals technique nursing must standardize?","what-causes-orthostatic-vitals-technique-nursing-must-standardize-7","What causes orthostatic vitals technique nursing must standardize",informational,Global,RN,"gerontology-polypharmacy","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why antipsychotics in dementia need indication caution black box?","why-antipsychotics-in-dementia-need-indication-caution-black-box-8","Why antipsychotics in dementia need indication caution black box",informational,Global,RN,"gerontology-polypharmacy","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How glycemic targets loosen when hypoglycemia risk dominates age?","how-glycemic-targets-loosen-when-hypoglycemia-risk-dominates-age-9","How glycemic targets loosen when hypoglycemia risk dominates age",informational,Global,RN,"gerontology-polypharmacy","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Difference between age-related pharmacokinetics vs poor adherence stories?","difference-between-age-related-pharmacokinetics-vs-poor-adherence-stories-10","Difference between age-related pharmacokinetics vs poor adherence stories",informational,Global,RN,"gerontology-polypharmacy","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How 5HT3 antagonists like ondansetron reduce chemo nausea pathway?","how-5ht3-antagonists-like-ondansetron-reduce-chemo-nausea-pathway","How 5HT3 antagonists like ondansetron reduce chemo nausea pathway",informational,Global,RN,"oncology-supportive-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why dexamethasone pairs with antiemetics in many regimens?","why-dexamethasone-pairs-with-antiemetics-in-many-regimens-2","Why dexamethasone pairs with antiemetics in many regimens",informational,Global,RN,"oncology-supportive-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"NCLEX extravasation stop infusion escalate oncology emergency?","nclex-extravasation-stop-infusion-escalate-oncology-emergency-3","NCLEX extravasation stop infusion escalate oncology emergency",exam-prep,Global,RN,"oncology-supportive-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"What causes mucositis pain spikes between chemo cycles?","what-causes-mucositis-pain-spikes-between-chemo-cycles-4","What causes mucositis pain spikes between chemo cycles",informational,Global,RN,"oncology-supportive-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How filgrastim shortens neutropenia after marrow suppression?","how-filgrastim-shortens-neutropenia-after-marrow-suppression-5","How filgrastim shortens neutropenia after marrow suppression",informational,Global,RN,"oncology-supportive-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why allopurinol precedes tumor lysis prophylaxis in some protocols?","why-allopurinol-precedes-tumor-lysis-prophylaxis-in-some-protocols-6","Why allopurinol precedes tumor lysis prophylaxis in some protocols",informational,Global,RN,"oncology-supportive-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"What causes immunotherapy colitis immune activation paradox?","what-causes-immunotherapy-colitis-immune-activation-paradox-7","What causes immunotherapy colitis immune activation paradox",informational,Global,RN,"oncology-supportive-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"How opioid rotation helps refractory cancer pain tolerance?","how-opioid-rotation-helps-refractory-cancer-pain-tolerance-8","How opioid rotation helps refractory cancer pain tolerance",informational,Global,RN,"oncology-supportive-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Why anthracycline lifetime dose caps cardiotoxicity cumulative?","why-anthracycline-lifetime-dose-caps-cardiotoxicity-cumulative-9","Why anthracycline lifetime dose caps cardiotoxicity cumulative",informational,Global,RN,"oncology-supportive-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
"Difference between palliative sedation and euthanasia ethics clarity?","difference-between-palliative-sedation-and-euthanasia-ethics-clarity-10","Difference between palliative sedation and euthanasia ethics clarity",informational,Global,RN,"oncology-supportive-pharmacology","/blog/rn|/blog|/question-bank|/lessons|LESSON_SLUG_TBD needs_mapping"
