lesson_title,slug,tier_group,subgroup,profession_tier_pathway,source,status,notes,recommended_action
"Meningitis: emergency recognition (NCLEX-PN, US)",meningitis-emergency-recognition-gold,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,scoped gold injection → us-lpn-nclex-pn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
"Mental health & safety case study (NCLEX-PN, US)",clinical-casebook-mental-health-safety-gold,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,scoped gold injection → us-lpn-nclex-pn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
"Myocardial infarction — PN scope (NCLEX-PN, US)",us-pn-myocardial-infarction,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,src/content/pathway-lessons/catalog.json → us-lpn-nclex-pn,fully present,,keep as-is
Neuro checks after ICH pathway — NCLEX-PN (United States),bp26-uslpn-pa-ich-nih,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,src/content/pathway-lessons/catalog.json → us-lpn-nclex-pn,fully present,,keep as-is
"Newborn Safety & Bath (NCLEX-PN, US)",newborn-safety-bath,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,src/content/pathway-lessons/catalog.json → us-lpn-nclex-pn,fully present,,keep as-is
"NPO & Post-Op Diet Progression (NCLEX-PN, US)",npo-post-op-diet-progression,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,src/content/pathway-lessons/catalog.json → us-lpn-nclex-pn,fully present,,keep as-is
"OB emergency cues & escalation (NCLEX-PN, US)",ob-emergencies-gold-standard,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,scoped gold injection → us-lpn-nclex-pn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
"Opioid toxicity & naloxone safety (NCLEX-PN, US)",opioid-toxicity-naloxone-gold,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,scoped gold injection → us-lpn-nclex-pn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
Opioids & respiratory depression — NCLEX-PN (United States),bp26-uslpn-ph-opioid-resp-depr,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,src/content/pathway-lessons/catalog.json → us-lpn-nclex-pn,fully present,,keep as-is
"Oral Hypoglycemics (NCLEX-PN, US)",oral-hypoglycemics,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,src/content/pathway-lessons/catalog.json → us-lpn-nclex-pn,fully present,,keep as-is
"Oxygen Devices for PN Care (NCLEX-PN, US)",oxygen-devices-for-pn-care,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,src/content/pathway-lessons/catalog.json → us-lpn-nclex-pn,fully present,,keep as-is
"Pain & sedation medications (NCLEX-PN, US)",med-family-pain-sedation-gold,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,scoped gold injection → us-lpn-nclex-pn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
"Pain management — PN scope (NCLEX-PN, US)",us-pn-pain-management,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,src/content/pathway-lessons/catalog.json → us-lpn-nclex-pn,fully present,,keep as-is
"Patient assignment & acuity (NCLEX-PN, US)",nurse-patient-assignment-acuity-gold,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,scoped gold injection → us-lpn-nclex-pn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
"Pediatric fever / dehydration case study (NCLEX-PN, US)",clinical-casebook-pediatric-fever-dehydration-gold,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,scoped gold injection → us-lpn-nclex-pn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
"Pediatric triage & dehydration cues (NCLEX-PN, US)",pediatric-triage-emergencies-gold-standard,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,scoped gold injection → us-lpn-nclex-pn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
"PN scope boundaries & delegation rules (NCLEX-PN, US)",pn-scope-boundaries-delegation-rules-hy,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,src/content/pathway-lessons/catalog.json → us-lpn-nclex-pn,fully present,,keep as-is
"PN scope, delegation & prioritization (NCLEX-PN, US)",lpn-scope-delegation-priority,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,src/content/pathway-lessons/catalog.json → us-lpn-nclex-pn,present but thin/incomplete,,complete
"Pneumonia — PN scope (NCLEX-PN, US)",us-pn-pneumonia,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,src/content/pathway-lessons/catalog.json → us-lpn-nclex-pn,fully present,,keep as-is
"Pneumonia (CAP): nursing priorities (NCLEX-PN, US)",pneumonia-cap-nursing-gold,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,scoped gold injection → us-lpn-nclex-pn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
"Postpartum Fundus & Lochia (NCLEX-PN, US)",postpartum-fundus-lochia,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,src/content/pathway-lessons/catalog.json → us-lpn-nclex-pn,fully present,,keep as-is
Postpartum hemorrhage early cues — NCLEX-PN (United States),bp26-uslpn-mat-postpartum-hem,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,src/content/pathway-lessons/catalog.json → us-lpn-nclex-pn,fully present,,keep as-is
"Potassium imbalance — PN scope (NCLEX-PN, US)",us-pn-potassium-imbalance,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,src/content/pathway-lessons/catalog.json → us-lpn-nclex-pn,fully present,,keep as-is
"PPE & Transmission Basics (NCLEX-PN, US)",ppe-transmission-basics,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,src/content/pathway-lessons/catalog.json → us-lpn-nclex-pn,fully present,,keep as-is
PPE sequence & isolation precautions — NCLEX-PN (United States),bp26-uslpn-sf-ppe-isolation,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,src/content/pathway-lessons/catalog.json → us-lpn-nclex-pn,fully present,,keep as-is
"Practical nursing scope: US PN vs Canadian RPN ideas (NCLEX-PN, US)",canadian-rpn-scope-collaboration-gold,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,scoped gold injection → us-lpn-nclex-pn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
Pressure injury prevention bundle — NCLEX-PN (United States),bp26-uslpn-rr-pressure-injury,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,src/content/pathway-lessons/catalog.json → us-lpn-nclex-pn,fully present,,keep as-is
"Prioritization under uncertainty (NCLEX-PN, US)",safety-family-prioritization-uncertainty-gold,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,scoped gold injection → us-lpn-nclex-pn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
"Prioritization, ABCs & safety — PN scope (NCLEX-PN, US)",us-pn-prioritization-abcs,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,src/content/pathway-lessons/catalog.json → us-lpn-nclex-pn,present but thin/incomplete,,complete
"Psychotropic medications (NCLEX-PN, US)",med-family-psychotropic-gold,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,scoped gold injection → us-lpn-nclex-pn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
"Pulmonary embolism — PN scope (NCLEX-PN, US)",us-pn-pulmonary-embolism,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,src/content/pathway-lessons/catalog.json → us-lpn-nclex-pn,fully present,,keep as-is
"Pulmonary embolism: recognition (NCLEX-PN, US)",pulmonary-embolism-recognition-gold,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,scoped gold injection → us-lpn-nclex-pn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
Raising ethical concerns safely — NCLEX-PN (United States),bp26-uslpn-mo-ethical-concern,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,src/content/pathway-lessons/catalog.json → us-lpn-nclex-pn,fully present,,keep as-is
"Respiratory distress case study (NCLEX-PN, US)",clinical-casebook-respiratory-distress-gold,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,scoped gold injection → us-lpn-nclex-pn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
"Respiratory medications (NCLEX-PN, US)",med-family-respiratory-gold,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,scoped gold injection → us-lpn-nclex-pn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
Restraint alternatives & least restraint — NCLEX-PN (United States),bp26-uslpn-sf-restraint-alternatives,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,src/content/pathway-lessons/catalog.json → us-lpn-nclex-pn,fully present,,keep as-is
"Restraint Monitoring Requirements (NCLEX-PN, US)",restraint-monitoring-requirements,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,src/content/pathway-lessons/catalog.json → us-lpn-nclex-pn,fully present,,keep as-is
"Restraints & least-restrictive alternatives (NCLEX-PN, US)",safety-family-restraints-alternatives-gold,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,scoped gold injection → us-lpn-nclex-pn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
SBAR handoff & shift report — NCLEX-PN (United States),bp26-uslpn-mo-shift-report-sbar,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,src/content/pathway-lessons/catalog.json → us-lpn-nclex-pn,fully present,,keep as-is
"Seizure Observation (NCLEX-PN, US)",seizure-observation,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,src/content/pathway-lessons/catalog.json → us-lpn-nclex-pn,fully present,,keep as-is
"Sepsis — PN scope (NCLEX-PN, US)",us-pn-sepsis,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,src/content/pathway-lessons/catalog.json → us-lpn-nclex-pn,fully present,,keep as-is
"Sepsis case study: rapid response (NCLEX-PN, US)",clinical-casebook-sepsis-rapid-response-gold,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,scoped gold injection → us-lpn-nclex-pn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
"Sepsis cues & escalation (NCLEX-PN, US)",sepsis-early-recognition-gold,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,scoped gold injection → us-lpn-nclex-pn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
"Shock — PN scope (NCLEX-PN, US)",us-pn-shock,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,src/content/pathway-lessons/catalog.json → us-lpn-nclex-pn,fully present,,keep as-is
"Shock cues & perfusion support (NCLEX-PN, US)",shock-emergencies-gold,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,scoped gold injection → us-lpn-nclex-pn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
Shock patterns & nursing cues — NCLEX-PN (United States),bp26-uslpn-pa-shock-classify,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,src/content/pathway-lessons/catalog.json → us-lpn-nclex-pn,fully present,,keep as-is
"Sodium imbalance — PN scope (NCLEX-PN, US)",us-pn-sodium-imbalance,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,src/content/pathway-lessons/catalog.json → us-lpn-nclex-pn,fully present,,keep as-is
"Stool Assessment & Report (NCLEX-PN, US)",stool-assessment-report,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,src/content/pathway-lessons/catalog.json → us-lpn-nclex-pn,fully present,,keep as-is
"Stroke cues & neuro emergencies: PN actions (NCLEX-PN, US)",stroke-increased-icp-gold,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,scoped gold injection → us-lpn-nclex-pn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
"Stroke Sequela & Mobility Assist (NCLEX-PN, US)",stroke-sequela-mobility-assist,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,src/content/pathway-lessons/catalog.json → us-lpn-nclex-pn,fully present,,keep as-is
"Suicide Precautions Observation (NCLEX-PN, US)",suicide-precautions-observation,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,src/content/pathway-lessons/catalog.json → us-lpn-nclex-pn,fully present,,keep as-is
Suicide risk: nursing priorities — NCLEX-PN (United States),bp26-uslpn-psy-suicide-safety,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,src/content/pathway-lessons/catalog.json → us-lpn-nclex-pn,fully present,,keep as-is
Suspected pulmonary embolism: first moves — NCLEX-PN (United States),bp26-uslpn-pa-pe-suspect,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,src/content/pathway-lessons/catalog.json → us-lpn-nclex-pn,fully present,,keep as-is
"Therapeutic Communication (NCLEX-PN, US)",therapeutic-communication,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,src/content/pathway-lessons/catalog.json → us-lpn-nclex-pn,fully present,,keep as-is
Therapeutic communication for anxiety — NCLEX-PN (United States),bp26-uslpn-psy-anxiety-therapeutic,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,src/content/pathway-lessons/catalog.json → us-lpn-nclex-pn,fully present,,keep as-is
"Thyroid storm: emergency recognition (NCLEX-PN, US)",thyroid-storm-emergency-gold,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,scoped gold injection → us-lpn-nclex-pn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
Trending vitals in suspected sepsis — NCLEX-PN (United States),bp26-uslpn-pa-sepsis-trending,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,src/content/pathway-lessons/catalog.json → us-lpn-nclex-pn,fully present,,keep as-is
"Upper GI bleed: priorities (NCLEX-PN, US)",upper-gi-bleed-prioritization-gold,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,scoped gold injection → us-lpn-nclex-pn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
"Vital Signs & Escalation (NCLEX-PN, US)",vital-signs-escalation,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,src/content/pathway-lessons/catalog.json → us-lpn-nclex-pn,fully present,,keep as-is
VTE prophylaxis: SCDs & ambulation — NCLEX-PN (United States),bp26-uslpn-rr-vte-mechanical,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,src/content/pathway-lessons/catalog.json → us-lpn-nclex-pn,fully present,,keep as-is
"Wound care — PN scope (NCLEX-PN, US)",us-pn-wound-care,US LPN/LVN / NCLEX-PN,,US LPN/LVN / NCLEX-PN / us-lpn-nclex-pn,src/content/pathway-lessons/catalog.json → us-lpn-nclex-pn,fully present,,keep as-is
"Abdominal Aortic Aneurysm (NCLEX-RN, Canada)",abdominal-aortic-aneurysm-nclex-rn,Canada RN,,Canada RN / ca-rn-nclex-rn,src/content/pathway-lessons/catalog.json → ca-rn-nclex-rn,fully present,,keep as-is
"ABG interpretation (NCLEX-RN, Canada)",ca-rn-abg-interpretation,Canada RN,,Canada RN / ca-rn-nclex-rn,src/content/pathway-lessons/catalog.json → ca-rn-nclex-rn,fully present,,keep as-is
"ABG Interpretation Basics (NCLEX-RN, Canada)",abg-interpretation-basics-hy,Canada RN,,Canada RN / ca-rn-nclex-rn,src/content/pathway-lessons/catalog.json → ca-rn-nclex-rn,fully present,,keep as-is
"Acid–base disorders (advanced) (NCLEX-RN, Canada)",ca-rn-acid-base-advanced,Canada RN,,Canada RN / ca-rn-nclex-rn,src/content/pathway-lessons/catalog.json → ca-rn-nclex-rn,fully present,,keep as-is
"ACS & chest pain (NCLEX-RN, Canada)",acute-coronary-syndrome-gold,Canada RN,,Canada RN / ca-rn-nclex-rn,scoped gold injection → ca-rn-nclex-rn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
"ACS case study: chest pain triage (NCLEX-RN, Canada)",clinical-casebook-acs-chest-pain-gold,Canada RN,,Canada RN / ca-rn-nclex-rn,scoped gold injection → ca-rn-nclex-rn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
"Acute Coronary Syndrome (NCLEX-RN, Canada)",acute-coronary-syndrome-nclex-rn,Canada RN,,Canada RN / ca-rn-nclex-rn,src/content/pathway-lessons/catalog.json → ca-rn-nclex-rn,fully present,,keep as-is
"Acute kidney injury: nursing surveillance (NCLEX-RN, Canada)",acute-kidney-injury-nursing-gold,Canada RN,,Canada RN / ca-rn-nclex-rn,scoped gold injection → ca-rn-nclex-rn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
"Acute Myocardial Infarction & Troponin (NCLEX-RN, Canada)",acute-myocardial-infarction-troponin,Canada RN,,Canada RN / ca-rn-nclex-rn,src/content/pathway-lessons/catalog.json → ca-rn-nclex-rn,fully present,,keep as-is
"Acute Pancreatitis Nursing Care (NCLEX-RN, Canada)",acute-pancreatitis-nursing-care,Canada RN,,Canada RN / ca-rn-nclex-rn,src/content/pathway-lessons/catalog.json → ca-rn-nclex-rn,fully present,,keep as-is
"Addisonian Crisis (NCLEX-RN, Canada)",addisonian-crisis,Canada RN,,Canada RN / ca-rn-nclex-rn,src/content/pathway-lessons/catalog.json → ca-rn-nclex-rn,fully present,,keep as-is
"Adrenal crisis (Addisonian) (NCLEX-RN, Canada)",adrenal-crisis-addisonian-gold,Canada RN,,Canada RN / ca-rn-nclex-rn,scoped gold injection → ca-rn-nclex-rn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
"AKI: Prerenal vs Intrarenal (NCLEX-RN, Canada)",aki-prerenal-vs-intrarenal,Canada RN,,Canada RN / ca-rn-nclex-rn,src/content/pathway-lessons/catalog.json → ca-rn-nclex-rn,fully present,,keep as-is
"Alcohol Withdrawal CIWA (NCLEX-RN, Canada)",alcohol-withdrawal-ciwa,Canada RN,,Canada RN / ca-rn-nclex-rn,src/content/pathway-lessons/catalog.json → ca-rn-nclex-rn,fully present,,keep as-is
"Anemia Types & Transfusion Thresholds (NCLEX-RN, Canada)",anemia-types-transfusion-thresholds,Canada RN,,Canada RN / ca-rn-nclex-rn,src/content/pathway-lessons/catalog.json → ca-rn-nclex-rn,fully present,,keep as-is
"Angina (NCLEX-RN, Canada)",ca-rn-angina,Canada RN,,Canada RN / ca-rn-nclex-rn,src/content/pathway-lessons/catalog.json → ca-rn-nclex-rn,fully present,,keep as-is
"Antibiotic Classes & Allergies (NCLEX-RN, Canada)",antibiotic-classes-allergies-hy,Canada RN,,Canada RN / ca-rn-nclex-rn,src/content/pathway-lessons/catalog.json → ca-rn-nclex-rn,fully present,,keep as-is
"Antibiotics — nursing implications (NCLEX-RN, Canada)",med-family-antibiotics-gold,Canada RN,,Canada RN / ca-rn-nclex-rn,scoped gold injection → ca-rn-nclex-rn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
"Antibiotics (NCLEX-RN, Canada)",ca-rn-antibiotics,Canada RN,,Canada RN / ca-rn-nclex-rn,src/content/pathway-lessons/catalog.json → ca-rn-nclex-rn,fully present,,keep as-is
"Anticoagulants — monitoring & safety (NCLEX-RN, Canada)",med-family-anticoagulants-gold,Canada RN,,Canada RN / ca-rn-nclex-rn,scoped gold injection → ca-rn-nclex-rn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
"Anticoagulants (NCLEX-RN, Canada)",ca-rn-anticoagulants,Canada RN,,Canada RN / ca-rn-nclex-rn,src/content/pathway-lessons/catalog.json → ca-rn-nclex-rn,fully present,,keep as-is
"Anticoagulants & Bleeding Risk (NCLEX-RN, Canada)",anticoagulants-bleeding-risk,Canada RN,,Canada RN / ca-rn-nclex-rn,src/content/pathway-lessons/catalog.json → ca-rn-nclex-rn,fully present,,keep as-is
"Antihypertensive Combos (NCLEX-RN, Canada)",antihypertensive-combos,Canada RN,,Canada RN / ca-rn-nclex-rn,src/content/pathway-lessons/catalog.json → ca-rn-nclex-rn,fully present,,keep as-is
"Antihypertensives (NCLEX-RN, Canada)",med-family-antihypertensives-gold,Canada RN,,Canada RN / ca-rn-nclex-rn,scoped gold injection → ca-rn-nclex-rn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
"ARDS (NCLEX-RN, Canada)",ca-rn-ards,Canada RN,,Canada RN / ca-rn-nclex-rn,src/content/pathway-lessons/catalog.json → ca-rn-nclex-rn,fully present,,keep as-is
"ARDS & acute respiratory failure (NCLEX-RN, Canada)",ards-acute-respiratory-failure-gold,Canada RN,,Canada RN / ca-rn-nclex-rn,scoped gold injection → ca-rn-nclex-rn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
"ARDS & Ventilation Basics (NCLEX-RN, Canada)",ards-ventilation-basics,Canada RN,,Canada RN / ca-rn-nclex-rn,src/content/pathway-lessons/catalog.json → ca-rn-nclex-rn,fully present,,keep as-is
"Assignment vs Delegation (NCLEX-RN, Canada)",assignment-vs-delegation,Canada RN,,Canada RN / ca-rn-nclex-rn,src/content/pathway-lessons/catalog.json → ca-rn-nclex-rn,fully present,,keep as-is
"Asthma (NCLEX-RN, Canada)",ca-rn-asthma,Canada RN,,Canada RN / ca-rn-nclex-rn,src/content/pathway-lessons/catalog.json → ca-rn-nclex-rn,fully present,,keep as-is
"Asthma & Status Asthmaticus (NCLEX-RN, Canada)",asthma-status-asthmaticus,Canada RN,,Canada RN / ca-rn-nclex-rn,src/content/pathway-lessons/catalog.json → ca-rn-nclex-rn,fully present,,keep as-is
"Atrial Fibrillation (NCLEX-RN, Canada)",atrial-fibrillation-nclex-rn,Canada RN,,Canada RN / ca-rn-nclex-rn,src/content/pathway-lessons/catalog.json → ca-rn-nclex-rn,fully present,,keep as-is
"Atrial Fibrillation & Rate Control (NCLEX-RN, Canada)",atrial-fibrillation-rate-control,Canada RN,,Canada RN / ca-rn-nclex-rn,src/content/pathway-lessons/catalog.json → ca-rn-nclex-rn,fully present,,keep as-is
"Atrial fibrillation: stroke prevention (NCLEX-RN, Canada)",atrial-fibrillation-stroke-prevention-gold,Canada RN,,Canada RN / ca-rn-nclex-rn,scoped gold injection → ca-rn-nclex-rn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
"Bowel Obstruction vs Paralytic Ileus (NCLEX-RN, Canada)",bowel-obstruction-vs-paralytic-ileus,Canada RN,,Canada RN / ca-rn-nclex-rn,src/content/pathway-lessons/catalog.json → ca-rn-nclex-rn,fully present,,keep as-is
"Burn Depth & Fluid Resuscitation Basics (NCLEX-RN, Canada)",burn-depth-fluid-resuscitation-basics,Canada RN,,Canada RN / ca-rn-nclex-rn,src/content/pathway-lessons/catalog.json → ca-rn-nclex-rn,fully present,,keep as-is
"C. diff Infection Control (NCLEX-RN, Canada)",c-diff-infection-control,Canada RN,,Canada RN / ca-rn-nclex-rn,src/content/pathway-lessons/catalog.json → ca-rn-nclex-rn,fully present,,keep as-is
"CABG and Postoperative CABG Complications (NCLEX-RN, Canada)",cabg-and-postoperative-cabg-complications-nclex-rn,Canada RN,,Canada RN / ca-rn-nclex-rn,src/content/pathway-lessons/catalog.json → ca-rn-nclex-rn,fully present,,keep as-is
"Calcium & Tetany (NCLEX-RN, Canada)",calcium-tetany,Canada RN,,Canada RN / ca-rn-nclex-rn,src/content/pathway-lessons/catalog.json → ca-rn-nclex-rn,fully present,,keep as-is
"Cardiac Glycosides & Toxicity (NCLEX-RN, Canada)",cardiac-glycosides-toxicity,Canada RN,,Canada RN / ca-rn-nclex-rn,src/content/pathway-lessons/catalog.json → ca-rn-nclex-rn,fully present,,keep as-is
"Cardiac medications (ischemia & rhythm) (NCLEX-RN, Canada)",med-family-cardiac-gold,Canada RN,,Canada RN / ca-rn-nclex-rn,scoped gold injection → ca-rn-nclex-rn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
"Cardiac Tamponade (NCLEX-RN, Canada)",cardiac-tamponade-nclex-rn,Canada RN,,Canada RN / ca-rn-nclex-rn,src/content/pathway-lessons/catalog.json → ca-rn-nclex-rn,fully present,,keep as-is
Cardiovascular prioritization for Canadian NCLEX-RN,cardiovascular-prioritization,Canada RN,,Canada RN / ca-rn-nclex-rn,src/content/pathway-lessons/catalog.json → ca-rn-nclex-rn,fully present,,keep as-is
"Chemo Safe Handling & Extravasation (NCLEX-RN, Canada)",chemo-safe-handling-extravasation,Canada RN,,Canada RN / ca-rn-nclex-rn,src/content/pathway-lessons/catalog.json → ca-rn-nclex-rn,fully present,,keep as-is
"Clinical judgment: prioritization (NCLEX-RN, Canada)",clinical-judgment-prioritization-gold,Canada RN,,Canada RN / ca-rn-nclex-rn,scoped gold injection → ca-rn-nclex-rn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
"Collaborating with RPNs: assignment & accountability (NCLEX-RN, Canada)",canadian-rpn-scope-collaboration-gold,Canada RN,,Canada RN / ca-rn-nclex-rn,scoped gold injection → ca-rn-nclex-rn,fully present,Injected by shared scoped-gold provider rather than static catalog bucket.,keep as-is
"COPD & respiratory basics (NCLEX-RN, Canada)",ca-rn-copd-respiratory,Canada RN,,Canada RN / ca-rn-nclex-rn,src/content/pathway-lessons/catalog.json → ca-rn-nclex-rn,fully present,,keep as-is
"COPD Exacerbation & Oxygen (NCLEX-RN, Canada)",copd-exacerbation-oxygen,Canada RN,,Canada RN / ca-rn-nclex-rn,src/content/pathway-lessons/catalog.json → ca-rn-nclex-rn,fully present,,keep as-is
