NurseNest — IMAGE PRODUCTION LIST (compact)
Generated: 2026-05-21T23:54:28.808Z

CRITICAL (135)
----------------------------------------
1. [CRITICAL 100] ABG Compensation Step-by-Step | NCLEX-RN (Canada) | abg-compensation-step-by-step-nclex | abg-compensation-step-by-step.webp | lab interpretation chart | no_image
20. [HIGH 58] Pulmonary embolism (REx-PN / PN, Canada) | REx-PN (Canada RPN) | ca-rpn-pulmonary-embolism | pulmonary-embolism-rex-pn-pn-canada.webp | infographic | duplicate_image_candidate
21. [HIGH 58] ECG Interpretation for: NP Diagnosis and | Canadian Nurse Practitioner Licensure Examination | np-ecg-interpretation-for-advanced-practice | ecg-interpretation-for-np-diagnosis-and.webp | ecg strip | duplicate_image_candidate
22. [HIGH 58] ECG Interpretation for: NP Diagnosis and | FNP Certification Prep | np-ecg-interpretation-for-advanced-practice | ecg-interpretation-for-np-diagnosis-and.webp | ecg strip | duplicate_image_candidate
23. [HIGH 58] Pulmonary embolism: recognition | NCLEX-RN (Canada) | pulmonary-embolism-recognition-gold | pulmonary-embolism-recognition.webp | infographic | duplicate_image_candidate
24. [HIGH 58] Pulmonary embolism: recognition | REx-PN (Canada RPN) | pulmonary-embolism-recognition-gold | pulmonary-embolism-recognition.webp | infographic | duplicate_image_candidate
25. [HIGH 58] Pulmonary embolism: recognition | NCLEX-PN (US LPN / LVN) | pulmonary-embolism-recognition-gold | pulmonary-embolism-recognition.webp | infographic | duplicate_image_candidate
26. [HIGH 58] Pulmonary embolism: recognition | FNP Certification Prep | pulmonary-embolism-recognition-gold | pulmonary-embolism-recognition.webp | infographic | duplicate_image_candidate
27. [HIGH 58] Pulmonary embolism: recognition | NCLEX-RN (United States) | pulmonary-embolism-recognition-gold | pulmonary-embolism-recognition.webp | infographic | duplicate_image_candidate
28. [HIGH 58] Pulmonary embolism – PN scope | NCLEX-PN (US LPN / LVN) | us-pn-pulmonary-embolism | pulmonary-embolism-pn-scope.webp | infographic | duplicate_image_candidate
29. [HIGH 58] Pulmonary Embolism: Acute Care | NCLEX-RN (United States) | us-rn-pulmonary-embolism | pulmonary-embolism-acute-care.webp | infographic | duplicate_image_candidate
30. [HIGH 57] Cardiac Biomarker Interpretation: NP Diagnosis and | Canadian Nurse Practitioner Licensure Examination | np-cardiac-biomarker-interpretation | cardiac-biomarker-interpretation-np-diagnosis-and.webp | patient scenario visual | duplicate_image_candidate
31. [HIGH 57] Cardiac Biomarker Interpretation: NP Diagnosis and | FNP Certification Prep | np-cardiac-biomarker-interpretation | cardiac-biomarker-interpretation-np-diagnosis-and.webp | patient scenario visual | duplicate_image_candidate
32. [HIGH 56] Hemodynamic Changes in Shock Types | NCLEX-RN (Canada) | hemodynamics-by-shock-type-nclex | hemodynamic-changes-in-shock-types.webp | comparison table | duplicate_image_candidate
33. [HIGH 56] Hemodynamic Changes in Shock Types | NCLEX-RN (United States) | hemodynamics-by-shock-type-nclex | hemodynamic-changes-in-shock-types.webp | comparison table | duplicate_image_candidate
34. [HIGH 55] MI: Recognition & Troponin | NCLEX-RN (Canada) | acute-myocardial-infarction-troponin | mi-recognition-troponin.webp | infographic | duplicate_image_candidate
35. [HIGH 55] MI: Recognition & Troponin | NCLEX-RN (United States) | acute-myocardial-infarction-troponin | mi-recognition-troponin.webp | infographic | duplicate_image_candidate
36. [HIGH 55] Atrial Fibrillation | NCLEX-RN (Canada) | atrial-fibrillation-nclex-rn | atrial-fibrillation.webp | ecg strip | duplicate_image_candidate
37. [HIGH 55] Atrial Fibrillation | NCLEX-RN (United States) | atrial-fibrillation-nclex-rn | atrial-fibrillation.webp | ecg strip | duplicate_image_candidate
38. [HIGH 55] Atrial Fibrillation: Rate Control | NCLEX-RN (Canada) | atrial-fibrillation-rate-control | atrial-fibrillation-rate-control.webp | ecg strip | duplicate_image_candidate
39. [HIGH 55] Atrial Fibrillation: Rate Control | NCLEX-RN (United States) | atrial-fibrillation-rate-control | atrial-fibrillation-rate-control.webp | ecg strip | duplicate_image_candidate
40. [HIGH 55] Heart Failure: Assessment & Management | NCLEX-RN (Canada) | ca-rn-heart-failure | heart-failure-assessment-management.webp | infographic | duplicate_image_candidate
41. [HIGH 55] Myocardial Infarction: Recognition | NCLEX-RN (Canada) | ca-rn-myocardial-infarction | myocardial-infarction-recognition.webp | infographic | duplicate_image_candidate
42. [HIGH 55] Shock | NCLEX-RN (Canada) | ca-rn-shock | shock.webp | algorithm flowchart | duplicate_image_candidate
43. [HIGH 55] Heart failure (REx-PN / PN, Canada) | REx-PN (Canada RPN) | ca-rpn-heart-failure | heart-failure-rex-pn-pn-canada.webp | infographic | duplicate_image_candidate
44. [HIGH 55] Myocardial infarction (REx-PN / PN, Canada) | REx-PN (Canada RPN) | ca-rpn-myocardial-infarction | myocardial-infarction-rex-pn-pn-canada.webp | infographic | duplicate_image_candidate
45. [HIGH 55] Shock (REx-PN / PN, Canada) | REx-PN (Canada RPN) | ca-rpn-shock | shock-rex-pn-pn-canada.webp | algorithm flowchart | duplicate_image_candidate
46. [HIGH 55] Cardiac Output and Stroke Volume | NCLEX-RN (Canada) | cardiac-output-stroke-volume-nclex-rn | cardiac-output-and-stroke-volume.webp | clinical illustration | duplicate_image_candidate
47. [HIGH 55] Cardiac Output and Stroke Volume | NCLEX-RN (United States) | cardiac-output-stroke-volume-nclex-rn | cardiac-output-and-stroke-volume.webp | clinical illustration | duplicate_image_candidate
48. [HIGH 55] Cardiogenic Shock | NCLEX-RN (Canada) | cardiogenic-shock-assessment-interventions | cardiogenic-shock.webp | algorithm flowchart | duplicate_image_candidate
49. [HIGH 55] Cardiogenic Shock | NCLEX-RN (United States) | cardiogenic-shock-assessment-interventions | cardiogenic-shock.webp | algorithm flowchart | duplicate_image_candidate
50. [HIGH 55] Heart failure – NP diagnosis & | FNP Certification Prep | fnp-overlay-heart-failure | heart-failure-np-diagnosis.webp | infographic | duplicate_image_candidate
51. [HIGH 55] MI / ACS – NP overlay | FNP Certification Prep | fnp-overlay-myocardial-infarction | mi-acs-np-overlay.webp | infographic | duplicate_image_candidate
52. [HIGH 55] Heart Failure Monitoring (REx-PN / PN, | REx-PN (Canada RPN) | heart-failure-monitoring | heart-failure-monitoring-rex-pn-pn.webp | infographic | duplicate_image_candidate
53. [HIGH 55] Heart Failure Monitoring | NCLEX-PN (US LPN / LVN) | heart-failure-monitoring | heart-failure-monitoring.webp | infographic | duplicate_image_candidate
54. [HIGH 55] Heart Failure: Prioritization & Safety | NCLEX-RN (Canada) | heart-failure-nursing-priorities-hy | heart-failure-prioritization-safety.webp | infographic | duplicate_image_candidate
55. [HIGH 55] Heart Failure: Prioritization & Safety | NCLEX-RN (United States) | heart-failure-nursing-priorities-hy | heart-failure-prioritization-safety.webp | infographic | duplicate_image_candidate
56. [HIGH 55] Heart failure: outpatient management (FNP, US) | Canadian Nurse Practitioner Licensure Examination | np-heart-failure-primary-care-gold | heart-failure-outpatient-management-fnp-us.webp | infographic | duplicate_image_candidate
57. [HIGH 55] Heart failure: outpatient management (FNP, US) | FNP Certification Prep | np-heart-failure-primary-care-gold | heart-failure-outpatient-management-fnp-us.webp | infographic | duplicate_image_candidate
58. [HIGH 55] Pericarditis: ECG Clues | NCLEX-RN (Canada) | pericarditis-ecg-clues | pericarditis-ecg-clues.webp | ecg strip | duplicate_image_candidate
59. [HIGH 55] Pericarditis: ECG Clues | NCLEX-RN (United States) | pericarditis-ecg-clues | pericarditis-ecg-clues.webp | ecg strip | duplicate_image_candidate
60. [HIGH 55] Atrial Fibrillation Symptom Escalation for RPN | REx-PN (Canada RPN) | rpn-atrial-fibrillation-symptom-escalation | atrial-fibrillation-symptom-escalation-for-rpn.webp | ecg strip | duplicate_image_candidate
61. [HIGH 55] Heart Failure Daily Assessment for RPN | REx-PN (Canada RPN) | rpn-heart-failure-daily-assessment | heart-failure-daily-assessment-for-rpn.webp | infographic | duplicate_image_candidate
62. [HIGH 55] Shock resuscitation: RN acute management | NCLEX-RN (Canada) | shock-emergencies-gold | shock-resuscitation-rn-acute-management.webp | algorithm flowchart | duplicate_image_candidate
63. [HIGH 55] Shock resuscitation: RN acute management | REx-PN (Canada RPN) | shock-emergencies-gold | shock-resuscitation-rn-acute-management.webp | algorithm flowchart | duplicate_image_candidate
64. [HIGH 55] Shock resuscitation: RN acute management | NCLEX-PN (US LPN / LVN) | shock-emergencies-gold | shock-resuscitation-rn-acute-management.webp | algorithm flowchart | duplicate_image_candidate
65. [HIGH 55] Shock resuscitation: RN acute management | FNP Certification Prep | shock-emergencies-gold | shock-resuscitation-rn-acute-management.webp | algorithm flowchart | duplicate_image_candidate
66. [HIGH 55] Shock resuscitation: RN acute management | NCLEX-RN (United States) | shock-emergencies-gold | shock-resuscitation-rn-acute-management.webp | algorithm flowchart | duplicate_image_candidate
67. [HIGH 55] Shock: Recognition & Fluids | NCLEX-RN (Canada) | shock-recognition-fluids | shock-recognition-fluids.webp | algorithm flowchart | duplicate_image_candidate
68. [HIGH 55] Shock: Recognition & Fluids | NCLEX-RN (United States) | shock-recognition-fluids | shock-recognition-fluids.webp | algorithm flowchart | duplicate_image_candidate
69. [HIGH 55] Stages of Shock | NCLEX-RN (Canada) | shock-stages-progression-nclex-rn | stages-of-shock.webp | algorithm flowchart | duplicate_image_candidate
70. [HIGH 55] Stages of Shock | NCLEX-RN (United States) | shock-stages-progression-nclex-rn | stages-of-shock.webp | algorithm flowchart | duplicate_image_candidate
71. [HIGH 55] Heart failure – PN scope | NCLEX-PN (US LPN / LVN) | us-pn-heart-failure | heart-failure-pn-scope.webp | infographic | duplicate_image_candidate
72. [HIGH 55] Myocardial infarction – PN scope | NCLEX-PN (US LPN / LVN) | us-pn-myocardial-infarction | myocardial-infarction-pn-scope.webp | infographic | duplicate_image_candidate
73. [HIGH 55] Shock – PN scope | NCLEX-PN (US LPN / LVN) | us-pn-shock | shock-pn-scope.webp | algorithm flowchart | duplicate_image_candidate
74. [HIGH 55] Heart Failure: Assessment & Management | NCLEX-RN (United States) | us-rn-heart-failure | heart-failure-assessment-management.webp | infographic | duplicate_image_candidate
75. [HIGH 55] Myocardial Infarction: Recognition | NCLEX-RN (United States) | us-rn-myocardial-infarction | myocardial-infarction-recognition.webp | infographic | duplicate_image_candidate
76. [HIGH 55] Shock | NCLEX-RN (United States) | us-rn-shock | shock.webp | algorithm flowchart | duplicate_image_candidate
77. [HIGH 55] Ventricular Dysrhythmias | NCLEX-RN (Canada) | ventricular-dysrhythmias-vt-vf-torsades | ventricular-dysrhythmias.webp | clinical illustration | duplicate_image_candidate
78. [HIGH 55] Ventricular Dysrhythmias | NCLEX-RN (United States) | ventricular-dysrhythmias-vt-vf-torsades | ventricular-dysrhythmias.webp | clinical illustration | duplicate_image_candidate
79. [HIGH 52] CABG | NCLEX-RN (Canada) | cabg-and-postoperative-cabg-complications-nclex-rn | cabg.webp | clinical illustration | duplicate_image_candidate
80. [HIGH 52] CABG | NCLEX-RN (United States) | cabg-and-postoperative-cabg-complications-nclex-rn | cabg.webp | clinical illustration | duplicate_image_candidate
81. [HIGH 52] DVT: Prevention & Management | NCLEX-RN (Canada) | deep-vein-thrombosis-dvt-prevention-and-nursing-management-nclex-rn | dvt-prevention-management.webp | infographic | duplicate_image_candidate
82. [HIGH 52] DVT: Prevention & Management | NCLEX-RN (United States) | deep-vein-thrombosis-dvt-prevention-and-nursing-management-nclex-rn | dvt-prevention-management.webp | infographic | duplicate_image_candidate
83. [HIGH 52] Cardiology: Chest Pain, Arrest, and STEMI | Allied Health Certification Prep (United States) | ems-cardiology-chest-pain-arrest-and-stemi-systems | cardiology-chest-pain-arrest-and-stemi.webp | ecg strip | duplicate_image_candidate
84. [HIGH 52] Deep Vein Thrombosis: NP Diagnosis and | Canadian Nurse Practitioner Licensure Examination | np-deep-vein-thrombosis-and-pulmonary-embolism-management | deep-vein-thrombosis-np-diagnosis-and.webp | infographic | duplicate_image_candidate
85. [HIGH 52] Deep Vein Thrombosis: NP Diagnosis and | FNP Certification Prep | np-deep-vein-thrombosis-and-pulmonary-embolism-management | deep-vein-thrombosis-np-diagnosis-and.webp | infographic | duplicate_image_candidate
86. [HIGH 52] Heart Failure Medication: NP Diagnosis and | Canadian Nurse Practitioner Licensure Examination | np-heart-failure-medication-titration-and-monitoring | heart-failure-medication-np-diagnosis-and.webp | medication chart | duplicate_image_candidate
87. [HIGH 52] Heart Failure Medication: NP Diagnosis and | FNP Certification Prep | np-heart-failure-medication-titration-and-monitoring | heart-failure-medication-np-diagnosis-and.webp | medication chart | duplicate_image_candidate
88. [HIGH 52] Heart Failure With: NP Diagnosis and | Canadian Nurse Practitioner Licensure Examination | np-heart-failure-with-reduced-and-preserved-ejection-fraction | heart-failure-with-np-diagnosis-and.webp | infographic | duplicate_image_candidate
89. [HIGH 52] Heart Failure With: NP Diagnosis and | FNP Certification Prep | np-heart-failure-with-reduced-and-preserved-ejection-fraction | heart-failure-with-np-diagnosis-and.webp | infographic | duplicate_image_candidate
90. [HIGH 52] Post Myocardial Infarction Recovery Teaching for | REx-PN (Canada RPN) | rpn-post-myocardial-infarction-recovery-teaching | post-myocardial-infarction-recovery-teaching-for.webp | infographic | duplicate_image_candidate
91. [HIGH 52] Vascular Sonography: Doppler, DVT, and Arterial | Allied Health Certification Prep (United States) | sonography-vascular-doppler-dvt-and-arterial-waveforms | vascular-sonography-doppler-dvt-and-arterial.webp | infographic | duplicate_image_candidate

MEDIUM (1)
----------------------------------------
1. [MEDIUM 50] Skin Anatomy and Barrier Protection for | REx-PN (Canada RPN) | rpn-skin-anatomy-and-barrier-protection | skin-anatomy-and-barrier-protection-for.webp | clinical illustration | no_image
