productionPriority,priorityScore,lessonTitle,pathway,pathwayId,slug,cluster,productionCluster,currentImageStatus,backlogReason,whyImageryNeeded,recommendedImageType,recommendedFilename,suggestedAltText,educationalRationale,seoRationale,clinicalImportance,visualComplexity,visualNecessity,seoImportance,educationalValue,trafficPotential,suggestedImagePrompt,productionNotes,matchedInventoryFilename,fallbackSourceUsed,sharedVisualSystemId,duplicateGroupId
CRITICAL,82,Burn Airway Injury & Smoke Inhalation,NCLEX-RN (United States),us-rn-nclex-rn,burn-airway-smoke-inhalation-nclex,Med-Surg,med_surg,no_image,missing,No clinical illustration is mapped to this lesson. Recommended: clinical illustration (Med-Surg). Visual reinforcement improves retention.,clinical_illustration,burn-airway-injury-smoke-inhalation.webp,Burn Airway Injury & Smoke Inhalation — clinical illustration,Visual necessity 46/100 — clinical illustration reinforces layered tissue / depth visual with staging or assessment cues. Cluster: Med-Surg. Supports pattern recognition and bedside-ready recall.,"SEO/traffic weight 40/100; slug ""burn-airway-smoke-inhalation-nclex"". Pathway lesson with measurable learner search intent. NCLEX-RN (United States)",25,36,46,40,39,34,"Premium NurseNest clinical education illustration for ""Burn Airway Injury & Smoke Inhalation"". Type: clinical illustration. Cluster: Med-Surg. Layered tissue / depth visual with staging or assessment cues. Style: Premium healthcare SaaS — soft neutral backgrounds, modern vector clinical education, Blossom/Mint palette, accessible contrast, non-stock-photo. Palette: Blossom/Mint Blossom soft pastels, warm plum ink labels, no stock photo, no muddy grey. Format: vector-like, clean lines, generous whitespace, 3:2 landscape.",Layered tissue / depth visual with staging or assessment cues.,,,integumentary_clinical,dup-0017
CRITICAL,82,Burns,NCLEX-RN (United States),us-rn-nclex-rn,burn-depth-fluid-resuscitation-basics,Med-Surg,med_surg,no_image,missing,No clinical illustration is mapped to this lesson. Recommended: clinical illustration (Med-Surg). Visual reinforcement improves retention.,clinical_illustration,burns.webp,Burns — clinical illustration,Visual necessity 46/100 — clinical illustration reinforces layered tissue / depth visual with staging or assessment cues. Cluster: Med-Surg. Supports pattern recognition and bedside-ready recall.,"SEO/traffic weight 40/100; slug ""burn-depth-fluid-resuscitation-basics"". Pathway lesson with measurable learner search intent. NCLEX-RN (United States)",25,36,46,40,39,34,"Premium NurseNest clinical education illustration for ""Burns"". Type: clinical illustration. Cluster: Med-Surg. Layered tissue / depth visual with staging or assessment cues. Style: Premium healthcare SaaS — soft neutral backgrounds, modern vector clinical education, Blossom/Mint palette, accessible contrast, non-stock-photo. Palette: Blossom/Mint Blossom soft pastels, warm plum ink labels, no stock photo, no muddy grey. Format: vector-like, clean lines, generous whitespace, 3:2 landscape.",Layered tissue / depth visual with staging or assessment cues.,,,integumentary_clinical,dup-0017
CRITICAL,82,Burn Fluid Resuscitation & Parkland,NCLEX-RN (United States),us-rn-nclex-rn,burn-fluid-resuscitation-parkland-nclex,Med-Surg,med_surg,no_image,missing,No clinical illustration is mapped to this lesson. Recommended: clinical illustration (Med-Surg). Visual reinforcement improves retention.,clinical_illustration,burn-fluid-resuscitation-parkland.webp,Burn Fluid Resuscitation & Parkland — clinical illustration,Visual necessity 46/100 — clinical illustration reinforces layered tissue / depth visual with staging or assessment cues. Cluster: Med-Surg. Supports pattern recognition and bedside-ready recall.,"SEO/traffic weight 40/100; slug ""burn-fluid-resuscitation-parkland-nclex"". Pathway lesson with measurable learner search intent. NCLEX-RN (United States)",25,36,46,40,39,34,"Premium NurseNest clinical education illustration for ""Burn Fluid Resuscitation & Parkland"". Type: clinical illustration. Cluster: Med-Surg. Layered tissue / depth visual with staging or assessment cues. Style: Premium healthcare SaaS — soft neutral backgrounds, modern vector clinical education, Blossom/Mint palette, accessible contrast, non-stock-photo. Palette: Blossom/Mint Blossom soft pastels, warm plum ink labels, no stock photo, no muddy grey. Format: vector-like, clean lines, generous whitespace, 3:2 landscape.",Layered tissue / depth visual with staging or assessment cues.,,,integumentary_clinical,dup-0017
CRITICAL,82,Burn Pain Management,NCLEX-RN (United States),us-rn-nclex-rn,burn-pain-management-nursing-nclex,Med-Surg,med_surg,no_image,missing,No clinical illustration is mapped to this lesson. Recommended: clinical illustration (Med-Surg). Visual reinforcement improves retention.,clinical_illustration,burn-pain-management.webp,Burn Pain Management — clinical illustration,Visual necessity 46/100 — clinical illustration reinforces layered tissue / depth visual with staging or assessment cues. Cluster: Med-Surg. Supports pattern recognition and bedside-ready recall.,"SEO/traffic weight 40/100; slug ""burn-pain-management-nursing-nclex"". Pathway lesson with measurable learner search intent. NCLEX-RN (United States)",25,36,46,40,39,34,"Premium NurseNest clinical education illustration for ""Burn Pain Management"". Type: clinical illustration. Cluster: Med-Surg. Layered tissue / depth visual with staging or assessment cues. Style: Premium healthcare SaaS — soft neutral backgrounds, modern vector clinical education, Blossom/Mint palette, accessible contrast, non-stock-photo. Palette: Blossom/Mint Blossom soft pastels, warm plum ink labels, no stock photo, no muddy grey. Format: vector-like, clean lines, generous whitespace, 3:2 landscape.",Layered tissue / depth visual with staging or assessment cues.,,,integumentary_clinical,dup-0017
CRITICAL,82,Burn Priority,NCLEX-RN (United States),us-rn-nclex-rn,burn-priority-first-actions-nclex,Med-Surg,med_surg,no_image,missing,No clinical illustration is mapped to this lesson. Recommended: clinical illustration (Med-Surg). Visual reinforcement improves retention.,clinical_illustration,burn-priority.webp,Burn Priority — clinical illustration,Visual necessity 46/100 — clinical illustration reinforces layered tissue / depth visual with staging or assessment cues. Cluster: Med-Surg. Supports pattern recognition and bedside-ready recall.,"SEO/traffic weight 40/100; slug ""burn-priority-first-actions-nclex"". Pathway lesson with measurable learner search intent. NCLEX-RN (United States)",25,36,46,40,39,34,"Premium NurseNest clinical education illustration for ""Burn Priority"". Type: clinical illustration. Cluster: Med-Surg. Layered tissue / depth visual with staging or assessment cues. Style: Premium healthcare SaaS — soft neutral backgrounds, modern vector clinical education, Blossom/Mint palette, accessible contrast, non-stock-photo. Palette: Blossom/Mint Blossom soft pastels, warm plum ink labels, no stock photo, no muddy grey. Format: vector-like, clean lines, generous whitespace, 3:2 landscape.",Layered tissue / depth visual with staging or assessment cues.,,,integumentary_clinical,dup-0017
CRITICAL,82,Burn Wound Care & Infection Prevention,NCLEX-RN (United States),us-rn-nclex-rn,burn-wound-care-infection-prevention-nclex,Med-Surg,med_surg,no_image,missing,No clinical illustration is mapped to this lesson. Recommended: clinical illustration (Med-Surg). Visual reinforcement improves retention.,clinical_illustration,burn-wound-care-infection-prevention.webp,Burn Wound Care & Infection Prevention — clinical illustration,Visual necessity 46/100 — clinical illustration reinforces layered tissue / depth visual with staging or assessment cues. Cluster: Med-Surg. Supports pattern recognition and bedside-ready recall.,"SEO/traffic weight 40/100; slug ""burn-wound-care-infection-prevention-nclex"". Pathway lesson with measurable learner search intent. NCLEX-RN (United States)",25,36,46,40,39,34,"Premium NurseNest clinical education illustration for ""Burn Wound Care & Infection Prevention"". Type: clinical illustration. Cluster: Med-Surg. Layered tissue / depth visual with staging or assessment cues. Style: Premium healthcare SaaS — soft neutral backgrounds, modern vector clinical education, Blossom/Mint palette, accessible contrast, non-stock-photo. Palette: Blossom/Mint Blossom soft pastels, warm plum ink labels, no stock photo, no muddy grey. Format: vector-like, clean lines, generous whitespace, 3:2 landscape.",Layered tissue / depth visual with staging or assessment cues.,,,integumentary_clinical,dup-0017
CRITICAL,82,Diuretics,NCLEX-RN (United States),us-rn-nclex-rn,diuretics-electrolyte-shifts,Labs & interpretation,labs,no_image,missing,No clinical illustration is mapped to this lesson. Recommended: lab interpretation chart (Labs & interpretation). Visual reinforcement improves retention.,lab_interpretation_chart,diuretics.webp,Diuretics — clinical illustration,Visual necessity 43/100 — lab interpretation chart reinforces interpretation ladder with normal/abnormal bands — not raw number memorization only. Cluster: Labs & interpretation. Supports pattern recognition and bedside-ready recall.,"SEO/traffic weight 40/100; slug ""diuretics-electrolyte-shifts"". Pathway lesson with measurable learner search intent. NCLEX-RN (United States)",35,39,43,40,40,34,"Premium NurseNest clinical education illustration for ""Diuretics"". Type: lab interpretation chart. Cluster: Labs & interpretation. Interpretation ladder with normal/abnormal bands — not raw number memorization only. Style: Premium healthcare SaaS — soft neutral backgrounds, modern vector clinical education, Blossom/Mint palette, accessible contrast, non-stock-photo. Palette: Blossom/Mint Blossom soft pastels, warm plum ink labels, no stock photo, no muddy grey. Format: vector-like, clean lines, generous whitespace, 3:2 landscape.",Interpretation ladder with normal/abnormal bands — not raw number memorization only.,,,lab_interpretation_panel,dup-0002
CRITICAL,82,Electrical & Chemical Burns,NCLEX-RN (United States),us-rn-nclex-rn,electrical-chemical-burns-nclex,Other clinical,other,no_image,missing,No clinical illustration is mapped to this lesson. Recommended: clinical illustration (Other clinical). Visual reinforcement improves retention.,clinical_illustration,electrical-chemical-burns.webp,Electrical & Chemical Burns — clinical illustration,Visual necessity 46/100 — clinical illustration reinforces layered tissue / depth visual with staging or assessment cues. Cluster: Other clinical. Supports pattern recognition and bedside-ready recall.,"SEO/traffic weight 40/100; slug ""electrical-chemical-burns-nclex"". Pathway lesson with measurable learner search intent. NCLEX-RN (United States)",25,36,46,40,39,34,"Premium NurseNest clinical education illustration for ""Electrical & Chemical Burns"". Type: clinical illustration. Cluster: Other clinical. Layered tissue / depth visual with staging or assessment cues. Style: Premium healthcare SaaS — soft neutral backgrounds, modern vector clinical education, Blossom/Mint palette, accessible contrast, non-stock-photo. Palette: Blossom/Mint Blossom soft pastels, warm plum ink labels, no stock photo, no muddy grey. Format: vector-like, clean lines, generous whitespace, 3:2 landscape.",Layered tissue / depth visual with staging or assessment cues.,,,integumentary_clinical,dup-0017
CRITICAL,82,Surgical Asepsis,NCLEX-RN (United States),us-rn-nclex-rn,proc-skill-surgical-asepsis-rn,Med-Surg,med_surg,no_image,missing,No clinical illustration is mapped to this lesson. Recommended: clinical illustration (Med-Surg). Visual reinforcement improves retention.,clinical_illustration,surgical-asepsis.webp,Surgical Asepsis — clinical illustration,Visual necessity 46/100 — clinical illustration reinforces general premium clinical illustration aligned to lesson title and body system. Cluster: Med-Surg. Supports pattern recognition and bedside-ready recall.,"SEO/traffic weight 40/100; slug ""proc-skill-surgical-asepsis-rn"". Pathway lesson with measurable learner search intent. NCLEX-RN (United States)",25,36,46,40,39,34,"Premium NurseNest clinical education illustration for ""Surgical Asepsis"". Type: clinical illustration. Cluster: Med-Surg. General premium clinical illustration aligned to lesson title and body system. Style: Premium healthcare SaaS — soft neutral backgrounds, modern vector clinical education, Blossom/Mint palette, accessible contrast, non-stock-photo. Palette: Blossom/Mint Blossom soft pastels, warm plum ink labels, no stock photo, no muddy grey. Format: vector-like, clean lines, generous whitespace, 3:2 landscape.",General premium clinical illustration aligned to lesson title and body system.,,,,
CRITICAL,82,Wound Infection & Sepsis Red Flags,NCLEX-RN (United States),us-rn-nclex-rn,wound-sepsis-red-flags-nclex,Med-Surg,med_surg,no_image,missing,No clinical illustration is mapped to this lesson. Recommended: clinical illustration (Med-Surg). Visual reinforcement improves retention.,clinical_illustration,wound-infection-sepsis-red-flags.webp,Wound Infection & Sepsis Red Flags — clinical illustration,Visual necessity 46/100 — clinical illustration reinforces layered tissue / depth visual with staging or assessment cues. Cluster: Med-Surg. Supports pattern recognition and bedside-ready recall.,"SEO/traffic weight 40/100; slug ""wound-sepsis-red-flags-nclex"". Pathway lesson with measurable learner search intent. NCLEX-RN (United States)",25,36,46,40,39,34,"Premium NurseNest clinical education illustration for ""Wound Infection & Sepsis Red Flags"". Type: clinical illustration. Cluster: Med-Surg. Layered tissue / depth visual with staging or assessment cues. Style: Premium healthcare SaaS — soft neutral backgrounds, modern vector clinical education, Blossom/Mint palette, accessible contrast, non-stock-photo. Palette: Blossom/Mint Blossom soft pastels, warm plum ink labels, no stock photo, no muddy grey. Format: vector-like, clean lines, generous whitespace, 3:2 landscape.",Layered tissue / depth visual with staging or assessment cues.,,,integumentary_clinical,dup-0017
CRITICAL,81,ARDS & acute respiratory failure,NCLEX-RN (United States),us-rn-nclex-rn,ards-acute-respiratory-failure-gold,Respiratory,respiratory,no_image,missing,No clinical illustration is mapped to this lesson. Recommended: clinical illustration (Respiratory). Visual reinforcement improves retention.,clinical_illustration,ards-acute-respiratory-failure.webp,ARDS & acute respiratory failure — clinical illustration,Visual necessity 43/100 — clinical illustration reinforces general premium clinical illustration aligned to lesson title and body system. Cluster: Respiratory. Supports pattern recognition and bedside-ready recall.,"SEO/traffic weight 40/100; slug ""ards-acute-respiratory-failure-gold"". Pathway lesson with measurable learner search intent. NCLEX-RN (United States)",25,34,43,40,37,34,"Premium NurseNest clinical education illustration for ""ARDS & acute respiratory failure"". Type: clinical illustration. Cluster: Respiratory. General premium clinical illustration aligned to lesson title and body system. Style: Premium healthcare SaaS — soft neutral backgrounds, modern vector clinical education, Blossom/Mint palette, accessible contrast, non-stock-photo. Palette: Blossom/Mint Blossom soft pastels, warm plum ink labels, no stock photo, no muddy grey. Format: vector-like, clean lines, generous whitespace, 3:2 landscape.",General premium clinical illustration aligned to lesson title and body system.,,,,
CRITICAL,81,Chest Tube Troubleshooting,NCLEX-RN (United States),us-rn-nclex-rn,chest-tube-troubleshooting-nclex,Respiratory,respiratory,no_image,missing,No clinical illustration is mapped to this lesson. Recommended: nursing workflow (Respiratory). Visual reinforcement improves retention.,nursing_workflow,chest-tube-troubleshooting.webp,Chest Tube Troubleshooting — clinical illustration,Visual necessity 43/100 — nursing workflow reinforces stepwise procedure workflow with equipment landmarks. Cluster: Respiratory. Supports pattern recognition and bedside-ready recall.,"SEO/traffic weight 40/100; slug ""chest-tube-troubleshooting-nclex"". Pathway lesson with measurable learner search intent. NCLEX-RN (United States)",25,34,43,40,37,34,"Premium NurseNest clinical education illustration for ""Chest Tube Troubleshooting"". Type: nursing workflow. Cluster: Respiratory. Stepwise procedure workflow with equipment landmarks. Style: Premium healthcare SaaS — soft neutral backgrounds, modern vector clinical education, Blossom/Mint palette, accessible contrast, non-stock-photo. Palette: Blossom/Mint Blossom soft pastels, warm plum ink labels, no stock photo, no muddy grey. Format: vector-like, clean lines, generous whitespace, 3:2 landscape.",Stepwise procedure workflow with equipment landmarks.,,,procedure_workflow,dup-0024
CRITICAL,81,COPD: clinical judgment,NCLEX-RN (United States),us-rn-nclex-rn,copd-clinical-judgment-gold,Respiratory,respiratory,no_image,missing,No clinical illustration is mapped to this lesson. Recommended: infographic (Respiratory). Visual reinforcement improves retention.,infographic,copd-clinical-judgment.webp,COPD: clinical judgment — clinical illustration,Visual necessity 43/100 — infographic reinforces pathophysiology infographic linking signs → nursing priorities. Cluster: Respiratory. Supports pattern recognition and bedside-ready recall.,"SEO/traffic weight 40/100; slug ""copd-clinical-judgment-gold"". Pathway lesson with measurable learner search intent. NCLEX-RN (United States)",25,34,43,40,37,34,"Premium NurseNest clinical education illustration for ""COPD: clinical judgment"". Type: infographic. Cluster: Respiratory. Pathophysiology infographic linking signs → nursing priorities. Style: Premium healthcare SaaS — soft neutral backgrounds, modern vector clinical education, Blossom/Mint palette, accessible contrast, non-stock-photo. Palette: Blossom/Mint Blossom soft pastels, warm plum ink labels, no stock photo, no muddy grey. Format: vector-like, clean lines, generous whitespace, 3:2 landscape.",Pathophysiology infographic linking signs → nursing priorities.,,,cardiopulmonary_infographic,dup-0006
CRITICAL,81,COPD: Exacerbation & Oxygen,NCLEX-RN (United States),us-rn-nclex-rn,copd-exacerbation-oxygen,Respiratory,respiratory,no_image,missing,No clinical illustration is mapped to this lesson. Recommended: infographic (Respiratory). Visual reinforcement improves retention.,infographic,copd-exacerbation-oxygen.webp,COPD: Exacerbation & Oxygen — clinical illustration,Visual necessity 43/100 — infographic reinforces pathophysiology infographic linking signs → nursing priorities. Cluster: Respiratory. Supports pattern recognition and bedside-ready recall.,"SEO/traffic weight 40/100; slug ""copd-exacerbation-oxygen"". Pathway lesson with measurable learner search intent. NCLEX-RN (United States)",25,34,43,40,37,34,"Premium NurseNest clinical education illustration for ""COPD: Exacerbation & Oxygen"". Type: infographic. Cluster: Respiratory. Pathophysiology infographic linking signs → nursing priorities. Style: Premium healthcare SaaS — soft neutral backgrounds, modern vector clinical education, Blossom/Mint palette, accessible contrast, non-stock-photo. Palette: Blossom/Mint Blossom soft pastels, warm plum ink labels, no stock photo, no muddy grey. Format: vector-like, clean lines, generous whitespace, 3:2 landscape.",Pathophysiology infographic linking signs → nursing priorities.,,,cardiopulmonary_infographic,dup-0006
CRITICAL,81,Insulin & diabetes medications,NCLEX-RN (United States),us-rn-nclex-rn,med-family-insulin-diabetes-gold,Pharmacology,pharmacology,no_image,missing,No clinical illustration is mapped to this lesson. Recommended: medication chart (Pharmacology). Visual reinforcement improves retention.,medication_chart,insulin-diabetes-medications.webp,Insulin & diabetes medications — clinical illustration,Visual necessity 43/100 — medication chart reinforces onset/peak/duration or mechanism chart with clear nursing safety callouts. Cluster: Pharmacology. Supports pattern recognition and bedside-ready recall.,"SEO/traffic weight 40/100; slug ""med-family-insulin-diabetes-gold"". Pathway lesson with measurable learner search intent. NCLEX-RN (United States)",25,34,43,40,37,34,"Premium NurseNest clinical education illustration for ""Insulin & diabetes medications"". Type: medication chart. Cluster: Pharmacology. Onset/peak/duration or mechanism chart with clear nursing safety callouts. Style: Premium healthcare SaaS — soft neutral backgrounds, modern vector clinical education, Blossom/Mint palette, accessible contrast, non-stock-photo. Palette: Blossom/Mint Blossom soft pastels, warm plum ink labels, no stock photo, no muddy grey. Format: vector-like, clean lines, generous whitespace, 3:2 landscape.",Onset/peak/duration or mechanism chart with clear nursing safety callouts.,,,insulin_onset_peak_chart,dup-0009
CRITICAL,81,ARDS,NCLEX-RN (United States),us-rn-nclex-rn,us-rn-ards,Respiratory,respiratory,no_image,missing,No clinical illustration is mapped to this lesson. Recommended: clinical illustration (Respiratory). Visual reinforcement improves retention.,clinical_illustration,ards.webp,ARDS — clinical illustration,Visual necessity 43/100 — clinical illustration reinforces general premium clinical illustration aligned to lesson title and body system. Cluster: Respiratory. Supports pattern recognition and bedside-ready recall.,"SEO/traffic weight 40/100; slug ""us-rn-ards"". Pathway lesson with measurable learner search intent. NCLEX-RN (United States)",25,34,43,40,37,34,"Premium NurseNest clinical education illustration for ""ARDS"". Type: clinical illustration. Cluster: Respiratory. General premium clinical illustration aligned to lesson title and body system. Style: Premium healthcare SaaS — soft neutral backgrounds, modern vector clinical education, Blossom/Mint palette, accessible contrast, non-stock-photo. Palette: Blossom/Mint Blossom soft pastels, warm plum ink labels, no stock photo, no muddy grey. Format: vector-like, clean lines, generous whitespace, 3:2 landscape.",General premium clinical illustration aligned to lesson title and body system.,,,,
CRITICAL,81,COPD,NCLEX-RN (United States),us-rn-nclex-rn,us-rn-copd-respiratory,Respiratory,respiratory,no_image,missing,No clinical illustration is mapped to this lesson. Recommended: infographic (Respiratory). Visual reinforcement improves retention.,infographic,copd.webp,COPD — clinical illustration,Visual necessity 43/100 — infographic reinforces pathophysiology infographic linking signs → nursing priorities. Cluster: Respiratory. Supports pattern recognition and bedside-ready recall.,"SEO/traffic weight 40/100; slug ""us-rn-copd-respiratory"". Pathway lesson with measurable learner search intent. NCLEX-RN (United States)",25,34,43,40,37,34,"Premium NurseNest clinical education illustration for ""COPD"". Type: infographic. Cluster: Respiratory. Pathophysiology infographic linking signs → nursing priorities. Style: Premium healthcare SaaS — soft neutral backgrounds, modern vector clinical education, Blossom/Mint palette, accessible contrast, non-stock-photo. Palette: Blossom/Mint Blossom soft pastels, warm plum ink labels, no stock photo, no muddy grey. Format: vector-like, clean lines, generous whitespace, 3:2 landscape.",Pathophysiology infographic linking signs → nursing priorities.,,,cardiopulmonary_infographic,dup-0006
CRITICAL,81,Ventilator Alarms and Troubleshooting,NCLEX-RN (United States),us-rn-nclex-rn,ventilator-alarms-troubleshooting-nclex,Respiratory,respiratory,no_image,missing,No clinical illustration is mapped to this lesson. Recommended: nursing workflow (Respiratory). Visual reinforcement improves retention.,nursing_workflow,ventilator-alarms-and-troubleshooting.webp,Ventilator Alarms and Troubleshooting — clinical illustration,Visual necessity 43/100 — nursing workflow reinforces mode/workflow diagram with safety checkpoints for bedside nurses. Cluster: Respiratory. Supports pattern recognition and bedside-ready recall.,"SEO/traffic weight 40/100; slug ""ventilator-alarms-troubleshooting-nclex"". Pathway lesson with measurable learner search intent. NCLEX-RN (United States)",25,34,43,40,37,34,"Premium NurseNest clinical education illustration for ""Ventilator Alarms and Troubleshooting"". Type: nursing workflow. Cluster: Respiratory. Mode/workflow diagram with safety checkpoints for bedside nurses. Style: Premium healthcare SaaS — soft neutral backgrounds, modern vector clinical education, Blossom/Mint palette, accessible contrast, non-stock-photo. Palette: Blossom/Mint Blossom soft pastels, warm plum ink labels, no stock photo, no muddy grey. Format: vector-like, clean lines, generous whitespace, 3:2 landscape.",Mode/workflow diagram with safety checkpoints for bedside nurses.,,,ventilation_workflow,dup-0022
HIGH,74,Magnesium Imbalances,NCLEX-RN (United States),us-rn-nclex-rn,magnesium-arrhythmia-risk,Cardiac · Arrhythmias,cardiac_arrhythmias,fallback_match,upgrade_fallback,A generic body-system fallback is shown — learners need topic-specific art. Recommended: ecg strip (Cardiac · Arrhythmias). Visual reinforcement improves retention.,ecg_strip,magnesium-imbalances.webp,Magnesium Imbalances — clinical illustration,Visual necessity 55/100 — ecg strip reinforces rhythm-focused strip plus brief annotation panel; keep grid calm and blossom-tinted. Cluster: Cardiac · Arrhythmias. Supports pattern recognition and bedside-ready recall.,"SEO/traffic weight 68/100; slug ""magnesium-arrhythmia-risk"". Flagship nursing search topic — strong organic discovery potential. NCLEX-RN (United States)",45,50,55,68,52,58,"Premium NurseNest clinical education illustration for ""Magnesium Imbalances"". Type: ecg strip. Cluster: Cardiac · Arrhythmias. Rhythm-focused strip plus brief annotation panel; keep grid calm and Blossom-tinted. Style: Premium healthcare SaaS — soft neutral backgrounds, modern vector clinical education, Blossom/Mint palette, accessible contrast, non-stock-photo. Palette: Blossom/Mint Blossom soft pastels, warm plum ink labels, no stock photo, no muddy grey. Format: vector-like, clean lines, generous whitespace, 3:2 landscape.",Rhythm-focused strip plus brief annotation panel; keep grid calm and Blossom-tinted.,ecg-interpretation-basics.svg,clinical_illustration,ecg_rhythm_family,
HIGH,63,Atrial fibrillation: stroke prevention,NCLEX-RN (United States),us-rn-nclex-rn,atrial-fibrillation-stroke-prevention-gold,Cardiac · Arrhythmias,cardiac_arrhythmias,duplicate_image_candidate,upgrade_fallback,Shared fallback art repeats across lessons — a dedicated or modular asset would improve clarity. Recommended: ecg strip (Cardiac · Arrhythmias). Visual reinforcement improves retention.,ecg_strip,atrial-fibrillation-stroke-prevention.webp,Atrial fibrillation: stroke prevention — clinical illustration,Visual necessity 52/100 — ecg strip reinforces rhythm-focused strip plus brief annotation panel; keep grid calm and blossom-tinted. Cluster: Cardiac · Arrhythmias. Supports pattern recognition and bedside-ready recall.,"SEO/traffic weight 54/100; slug ""atrial-fibrillation-stroke-prevention-gold"". Pathway lesson with measurable learner search intent. NCLEX-RN (United States)",25,39,52,54,43,46,"Premium NurseNest clinical education illustration for ""Atrial fibrillation: stroke prevention"". Type: ecg strip. Cluster: Cardiac · Arrhythmias. Rhythm-focused strip plus brief annotation panel; keep grid calm and Blossom-tinted. Style: Premium healthcare SaaS — soft neutral backgrounds, modern vector clinical education, Blossom/Mint palette, accessible contrast, non-stock-photo. Palette: Blossom/Mint Blossom soft pastels, warm plum ink labels, no stock photo, no muddy grey. Format: vector-like, clean lines, generous whitespace, 3:2 landscape.",Rhythm-focused strip plus brief annotation panel; keep grid calm and Blossom-tinted.,atrial-fibrillation.svg,clinical_illustration,ecg_rhythm_family,dup-0008
HIGH,60,ECG Interpretation,NCLEX-RN (United States),us-rn-nclex-rn,ecg-systematic-interpretation-nclex-rn,Cardiac · ECG,cardiac_ecg,duplicate_image_candidate,upgrade_fallback,Shared fallback art repeats across lessons — a dedicated or modular asset would improve clarity. Recommended: ecg strip (Cardiac · ECG). Visual reinforcement improves retention.,ecg_strip,ecg-interpretation.webp,ECG Interpretation — clinical illustration,Visual necessity 53/100 — ecg strip reinforces rhythm-focused strip plus brief annotation panel; keep grid calm and blossom-tinted. Cluster: Cardiac · ECG. Supports pattern recognition and bedside-ready recall.,"SEO/traffic weight 40/100; slug ""ecg-systematic-interpretation-nclex-rn"". Pathway lesson with measurable learner search intent. NCLEX-RN (United States)",35,44,53,40,47,34,"Premium NurseNest clinical education illustration for ""ECG Interpretation"". Type: ecg strip. Cluster: Cardiac · ECG. Rhythm-focused strip plus brief annotation panel; keep grid calm and Blossom-tinted. Style: Premium healthcare SaaS — soft neutral backgrounds, modern vector clinical education, Blossom/Mint palette, accessible contrast, non-stock-photo. Palette: Blossom/Mint Blossom soft pastels, warm plum ink labels, no stock photo, no muddy grey. Format: vector-like, clean lines, generous whitespace, 3:2 landscape.",Rhythm-focused strip plus brief annotation panel; keep grid calm and Blossom-tinted.,heart-anatomy-blood-flow.svg,clinical_illustration,ecg_rhythm_family,dup-0012
HIGH,59,Sepsis case study: rapid response,NCLEX-RN (United States),us-rn-nclex-rn,clinical-casebook-sepsis-rapid-response-gold,Med-Surg,med_surg,duplicate_image_candidate,upgrade_fallback,Shared fallback art repeats across lessons — a dedicated or modular asset would improve clarity. Recommended: algorithm flowchart (Med-Surg). Visual reinforcement improves retention.,algorithm_flowchart,sepsis-case-study-rapid-response.webp,Sepsis case study: rapid response — clinical illustration,Visual necessity 46/100 — algorithm flowchart reinforces time-critical algorithm with priority nursing actions highlighted in mint/blossom accents. Cluster: Med-Surg. Supports pattern recognition and bedside-ready recall.,"SEO/traffic weight 48/100; slug ""clinical-casebook-sepsis-rapid-response-gold"". Pathway lesson with measurable learner search intent. NCLEX-RN (United States)",25,36,46,48,39,41,"Premium NurseNest clinical education illustration for ""Sepsis case study: rapid response"". Type: algorithm flowchart. Cluster: Med-Surg. Time-critical algorithm with priority nursing actions highlighted in mint/blossom accents. Style: Premium healthcare SaaS — soft neutral backgrounds, modern vector clinical education, Blossom/Mint palette, accessible contrast, non-stock-photo. Palette: Blossom/Mint Blossom soft pastels, warm plum ink labels, no stock photo, no muddy grey. Format: vector-like, clean lines, generous whitespace, 3:2 landscape.",Time-critical algorithm with priority nursing actions highlighted in mint/blossom accents.,shock-states.svg,clinical_illustration,emergency_algorithm,dup-0005
HIGH,58,Pulmonary embolism: recognition,NCLEX-RN (United States),us-rn-nclex-rn,pulmonary-embolism-recognition-gold,Respiratory,respiratory,duplicate_image_candidate,upgrade_fallback,Shared fallback art repeats across lessons — a dedicated or modular asset would improve clarity. Recommended: infographic (Respiratory). Visual reinforcement improves retention.,infographic,pulmonary-embolism-recognition.webp,Pulmonary embolism: recognition — clinical illustration,Visual necessity 52/100 — infographic reinforces lung vascular infographic + clot pathway; soft mint background. Cluster: Respiratory. Supports pattern recognition and bedside-ready recall.,"SEO/traffic weight 40/100; slug ""pulmonary-embolism-recognition-gold"". Pathway lesson with measurable learner search intent. NCLEX-RN (United States)",25,39,52,40,43,34,"Premium NurseNest clinical education illustration for ""Pulmonary embolism: recognition"". Type: infographic. Cluster: Respiratory. Lung vascular infographic + clot pathway; soft mint background. Style: Premium healthcare SaaS — soft neutral backgrounds, modern vector clinical education, Blossom/Mint palette, accessible contrast, non-stock-photo. Palette: Blossom/Mint Blossom soft pastels, warm plum ink labels, no stock photo, no muddy grey. Format: vector-like, clean lines, generous whitespace, 3:2 landscape.",Lung vascular infographic + clot pathway; soft mint background.,perfusion-disorders.svg,clinical_illustration,lung_vascular_pe,dup-0007
